# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,8.741797546715576184e-01,0.000000000000000000e+00
2.470278535103650856e-03,9.292949119845674844e-01,0.000000000000000000e+00
4.392845456035934966e-03,1.024533551554827060e+00,0.000000000000000000e+00
7.811706625951745156e-03,1.142467786021085008e+00,0.000000000000000000e+00
1.389139705019461560e-02,1.407516483516457750e+00,7.500000000000000000e-01
2.470278535103651030e-02,1.674662393162386076e+00,5.000000000000000000e-01
4.392845456035934792e-02,1.662204371274481396e+00,7.500000000000000000e-01
7.811706625951746197e-02,1.639790659340658152e+00,5.000000000000000000e-01
1.389139705019461490e-01,1.732911310333788313e+00,5.000000000000000000e-01
2.470278535103651030e-01,1.782804721896447786e+00,2.500000000000000000e-01
4.392845456035935348e-01,1.852214227759314102e+00,2.500000000000000000e-01
7.811706625951745364e-01,1.925766771771371566e+00,2.500000000000000000e-01
