# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,1.640242600050052735e+00,3.125245519169001646e-02
1.794000000000000039e+00,1.666805235137533092e+00,2.625297816392424197e-02
2.690999999999999837e+00,1.680844015198052377e+00,2.184061878649220731e-02
3.581500000000000128e+00,1.692588061666101540e+00,1.926751329492292289e-02
4.478500000000000369e+00,1.710488191882759468e+00,1.720059190670056998e-02
5.375499999999999723e+00,1.717947539763743370e+00,1.532679639829667186e-02
6.272499999999999964e+00,1.722788856443334682e+00,1.361283700238094876e-02
7.169500000000000206e+00,1.724965606857848721e+00,1.211344662837295603e-02
8.066499999999999559e+00,1.730633405733210228e+00,1.116556992653738346e-02
8.963499999999999801e+00,1.733877296017977576e+00,1.003188573190780079e-02
9.853999999999999204e+00,1.734708865766724895e+00,9.733919495940423008e-03
1.075099999999999945e+01,1.735346646443899798e+00,8.416419940365873348e-03
1.164799999999999969e+01,1.736888399865440746e+00,8.036993466446930648e-03
1.254499999999999993e+01,1.736885193710804520e+00,7.279072257138580540e-03
1.344200000000000017e+01,1.738905040248505118e+00,6.960373733720204119e-03
1.433900000000000041e+01,1.739925694303106729e+00,6.876927256138256131e-03
1.523600000000000065e+01,1.742574181182055648e+00,6.628078816304739003e-03
1.613299999999999912e+01,1.743727833810025940e+00,6.362445483870949811e-03
1.702349999999999852e+01,1.742522846269532799e+00,6.362279344049497423e-03
1.792050000000000054e+01,1.741165474040959893e+00,6.664619018115090256e-03
1.881749999999999901e+01,1.741526486146471431e+00,6.422644842443691118e-03
1.971450000000000102e+01,1.741042948290934644e+00,6.343461341608029949e-03
2.061149999999999949e+01,1.739594931896053520e+00,5.892261065001360397e-03
2.150850000000000151e+01,1.741076683968796335e+00,5.948256034759210123e-03
2.240549999999999997e+01,1.743078854089671115e+00,5.945644282406876459e-03
2.329599999999999937e+01,1.744610647882092636e+00,5.547178037357914336e-03
2.419300000000000139e+01,1.746124870830405351e+00,5.619457937775991854e-03
2.508999999999999986e+01,1.746898953156392098e+00,5.834409420236462418e-03
2.598699999999999832e+01,1.747059457515256709e+00,5.692625725472195107e-03
