# time,average_velocity_axis_1_t_inf,95CLI,us,surftimeprefactor
2.598699999999999832e+01,1.011667962891922845e-01,4.611098775558966764e-04,1.000000000000000056e-01,0.000000000000000000e+00
2.598699999999999832e+01,2.003346305385291237e-01,7.925658937487214733e-04,2.000000000000000111e-01,0.000000000000000000e+00
2.598699999999999832e+01,8.002873524674424255e-01,2.645338004472354895e-03,8.000000000000000444e-01,0.000000000000000000e+00
2.598699999999999832e+01,5.295731380628380947e-02,2.566149491171137932e-04,5.000000000000000278e-02,0.000000000000000000e+00
2.598699999999999832e+01,3.998393398477360083e-01,1.339417689752344081e-03,4.000000000000000222e-01,0.000000000000000000e+00
2.598699999999999832e+01,1.096828050690649425e-01,4.390639817188543288e-04,1.000000000000000056e-01,2.500000000000000000e-01
2.598699999999999832e+01,2.091099180089708298e-01,7.663831766207123428e-04,2.000000000000000111e-01,2.500000000000000000e-01
2.598699999999999832e+01,5.957789244890195068e-02,2.527309703781469778e-04,5.000000000000000278e-02,2.500000000000000000e-01
2.598699999999999832e+01,4.069663823020904236e-01,1.406917747746694357e-03,4.000000000000000222e-01,2.500000000000000000e-01
2.598699999999999832e+01,8.013195278958159529e-01,2.927879270358268310e-03,8.000000000000000444e-01,2.500000000000000000e-01
2.598699999999999832e+01,6.339576418534954849e-02,2.507170869513526581e-04,5.000000000000000278e-02,5.000000000000000000e-01
2.598699999999999832e+01,4.039473563608244056e-01,1.263250950315494749e-03,4.000000000000000222e-01,5.000000000000000000e-01
2.598699999999999832e+01,2.115235558474337085e-01,7.141452086255329875e-04,2.000000000000000111e-01,5.000000000000000000e-01
2.598699999999999832e+01,7.820271171692596557e-01,2.345600956246255558e-03,8.000000000000000444e-01,5.000000000000000000e-01
2.598699999999999832e+01,1.140982598207512799e-01,4.164257595441850867e-04,1.000000000000000056e-01,5.000000000000000000e-01
2.598699999999999832e+01,3.928251230369727010e-01,1.217991306563787459e-03,4.000000000000000222e-01,7.500000000000000000e-01
2.598699999999999832e+01,7.589037336564672387e-01,2.405030301645957186e-03,8.000000000000000444e-01,7.500000000000000000e-01
2.598699999999999832e+01,6.555953370796717417e-02,2.469803493788193835e-04,5.000000000000000278e-02,7.500000000000000000e-01
2.598699999999999832e+01,2.094247672599176269e-01,7.510007673586947471e-04,2.000000000000000111e-01,7.500000000000000000e-01
2.598699999999999832e+01,1.151767642423659616e-01,4.077465264454254021e-04,1.000000000000000056e-01,7.500000000000000000e-01
2.598699999999999832e+01,2.058823070917378539e-01,7.594564694767392101e-04,2.000000000000000111e-01,1.000000000000000000e+00
2.598699999999999832e+01,3.822080692452914930e-01,1.293687246954777770e-03,4.000000000000000222e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.148129170628067741e-01,4.198129037895406961e-04,1.000000000000000056e-01,1.000000000000000000e+00
2.598699999999999832e+01,6.603879402483790739e-02,2.481715636522567516e-04,5.000000000000000278e-02,1.000000000000000000e+00
2.598699999999999832e+01,7.338053602939615949e-01,2.506896281242208986e-03,8.000000000000000444e-01,1.000000000000000000e+00
2.598699999999999832e+01,1.129244101936509453e-01,4.186537146619986926e-04,1.000000000000000056e-01,1.250000000000000000e+00
2.598699999999999832e+01,2.008392425248919644e-01,7.477164380767484285e-04,2.000000000000000111e-01,1.250000000000000000e+00
2.598699999999999832e+01,7.004440414869914644e-01,3.133825760776871427e-03,8.000000000000000444e-01,1.250000000000000000e+00
2.598699999999999832e+01,3.704022432553734090e-01,1.579652272373933053e-03,4.000000000000000222e-01,1.250000000000000000e+00
2.598699999999999832e+01,6.626983302694278155e-02,2.498950432368953790e-04,5.000000000000000278e-02,1.250000000000000000e+00
2.598699999999999832e+01,6.728264367662638579e-01,3.859368003614101379e-03,8.000000000000000444e-01,1.500000000000000000e+00
2.598699999999999832e+01,6.527563538962051493e-02,2.536331485728385640e-04,5.000000000000000278e-02,1.500000000000000000e+00
2.598699999999999832e+01,1.945532945542763070e-01,7.930982545998665817e-04,2.000000000000000111e-01,1.500000000000000000e+00
2.598699999999999832e+01,3.542884381889437884e-01,1.460308776485225515e-03,4.000000000000000222e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.112044633060272347e-01,4.183557043445063593e-04,1.000000000000000056e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.885881461477826593e-01,7.870201656293762454e-04,2.000000000000000111e-01,1.750000000000000000e+00
2.598699999999999832e+01,3.430663917192458556e-01,1.578081346229706855e-03,4.000000000000000222e-01,1.750000000000000000e+00
2.598699999999999832e+01,6.427214209916475018e-02,2.537043582779154147e-04,5.000000000000000278e-02,1.750000000000000000e+00
2.598699999999999832e+01,1.082385048296384822e-01,4.104752132937810097e-04,1.000000000000000056e-01,1.750000000000000000e+00
2.598699999999999832e+01,6.439628102905455842e-01,3.496782640834770594e-03,8.000000000000000444e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.819327573192584535e-01,8.106533769599326075e-04,2.000000000000000111e-01,2.000000000000000000e+00
2.598699999999999832e+01,6.082206519272195244e-01,4.117174353927084175e-03,8.000000000000000444e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.054504997226533153e-01,4.377319394696263478e-04,1.000000000000000056e-01,2.000000000000000000e+00
2.598699999999999832e+01,3.255843377815696438e-01,1.729209920403078186e-03,4.000000000000000222e-01,2.000000000000000000e+00
2.598699999999999832e+01,6.274652791846951905e-02,2.570724327317128297e-04,5.000000000000000278e-02,2.000000000000000000e+00
2.598699999999999832e+01,5.707551303124089870e-01,4.684760666687462667e-03,8.000000000000000444e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.739374209584815534e-01,8.515652384905630012e-04,2.000000000000000111e-01,2.250000000000000000e+00
2.598699999999999832e+01,3.132390435650759808e-01,2.035798317779778308e-03,4.000000000000000222e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.021007399243902686e-01,4.563275503755799870e-04,1.000000000000000056e-01,2.250000000000000000e+00
2.598699999999999832e+01,6.069548657324329993e-02,2.573021766716551131e-04,5.000000000000000278e-02,2.250000000000000000e+00
2.598699999999999832e+01,5.184277696147917558e-01,5.829445422875383087e-03,8.000000000000000444e-01,2.500000000000000000e+00
2.598699999999999832e+01,9.834530069516929374e-02,4.762646246441456046e-04,1.000000000000000056e-01,2.500000000000000000e+00
2.598699999999999832e+01,2.932169931119406048e-01,2.201471892953477637e-03,4.000000000000000222e-01,2.500000000000000000e+00
2.598699999999999832e+01,5.886127345196996707e-02,2.611093335313365385e-04,5.000000000000000278e-02,2.500000000000000000e+00
2.598699999999999832e+01,1.653588779563556765e-01,9.410713948597443238e-04,2.000000000000000111e-01,2.500000000000000000e+00
2.598699999999999832e+01,2.741772927437820528e-01,2.164636918611751500e-03,4.000000000000000222e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.577468759892606542e-01,1.021649006009739272e-03,2.000000000000000111e-01,2.750000000000000000e+00
2.598699999999999832e+01,9.387930949387934820e-02,4.838626071400410384e-04,1.000000000000000056e-01,2.750000000000000000e+00
2.598699999999999832e+01,5.758239328695101411e-02,2.636903799523935676e-04,5.000000000000000278e-02,2.750000000000000000e+00
2.598699999999999832e+01,4.670972911887655288e-01,7.573231796617682123e-03,8.000000000000000444e-01,2.750000000000000000e+00
2.598699999999999832e+01,2.571808656550926830e-01,2.530549718610837061e-03,4.000000000000000222e-01,3.000000000000000000e+00
2.598699999999999832e+01,5.546628513581257358e-02,2.607047718701691291e-04,5.000000000000000278e-02,3.000000000000000000e+00
2.598699999999999832e+01,1.493596842225868859e-01,1.086861958519259137e-03,2.000000000000000111e-01,3.000000000000000000e+00
2.598699999999999832e+01,4.236727547447193265e-01,6.994210897908454891e-03,8.000000000000000444e-01,3.000000000000000000e+00
2.598699999999999832e+01,9.014534840941042237e-02,5.057906590239885864e-04,1.000000000000000056e-01,3.000000000000000000e+00
