# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,6.398371031808766651e-02,3.992444470958997869e-04
1.794000000000000039e+00,6.794860558626070191e-02,4.436887066046593035e-04
2.690999999999999837e+00,6.993213240803576591e-02,4.392215209920404722e-04
3.581500000000000128e+00,7.062065784862497919e-02,4.286704819424516318e-04
4.478500000000000369e+00,7.056002990143731002e-02,4.161560531890278261e-04
5.375499999999999723e+00,7.046435584691039533e-02,4.053288382768850738e-04
6.272499999999999964e+00,7.014753027082035186e-02,3.944415510030245520e-04
7.169500000000000206e+00,6.970696458394265438e-02,3.829088141999455836e-04
8.066499999999999559e+00,6.923146987784907502e-02,3.715363146486722989e-04
8.963499999999999801e+00,6.872453868817401945e-02,3.608753987282661466e-04
9.853999999999999204e+00,6.822339070184044174e-02,3.508658229880905004e-04
1.075099999999999945e+01,6.773648778296899320e-02,3.403915193894151581e-04
1.164799999999999969e+01,6.728413776531305679e-02,3.307029553896889576e-04
1.254499999999999993e+01,6.687784995657947151e-02,3.224589349160201656e-04
1.344200000000000017e+01,6.653090741389777740e-02,3.146820487076990545e-04
1.433900000000000041e+01,6.623408443284423130e-02,3.076820969130071191e-04
1.523600000000000065e+01,6.599428875270450801e-02,3.017025580941574145e-04
1.613299999999999912e+01,6.581327609549937618e-02,2.966007130010974531e-04
1.702349999999999852e+01,6.568954589879710815e-02,2.924909335506274948e-04
1.792050000000000054e+01,6.561073919032872626e-02,2.885333898874669809e-04
1.881749999999999901e+01,6.558058110213602077e-02,2.846619096305492329e-04
1.971450000000000102e+01,6.557591613802143948e-02,2.806399908482455825e-04
2.061149999999999949e+01,6.558621625934106525e-02,2.765059943341093766e-04
2.150850000000000151e+01,6.559630711103857370e-02,2.716969846984014134e-04
2.240549999999999997e+01,6.559918187453099570e-02,2.665048954128778312e-04
2.329599999999999937e+01,6.560256435969200051e-02,2.614679709204891173e-04
2.419300000000000139e+01,6.560861573867106389e-02,2.567163197307932598e-04
2.508999999999999986e+01,6.558768286967915639e-02,2.518985340276329527e-04
2.598699999999999832e+01,6.555953370796717417e-02,2.469803493788193835e-04
