# pos_1,average_velocity_axis
1.389139705019461386e-03,4.003300023239645955e-01
2.470278535103650856e-03,3.999985885673958963e-01
4.392845456035934966e-03,4.016202470096271182e-01
7.811706625951745156e-03,3.940054815772462415e-01
1.389139705019461560e-02,3.720885650224212693e-01
2.470278535103651030e-02,3.280185754985756041e-01
4.392845456035934792e-02,3.091760782788321449e-01
7.811706625951746197e-02,3.153379867983216456e-01
1.389139705019461490e-01,3.201528167000302627e-01
2.470278535103651030e-01,3.197173466380359708e-01
4.392845456035935348e-01,3.139310023501144520e-01
7.811706625951745364e-01,3.065280091439803734e-01
