# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,8.998143812709129552e-01,2.500000000000000000e+00
2.470278535103650856e-03,8.231538461538279172e-01,2.750000000000000000e+00
4.392845456035934966e-03,8.734094292803935566e-01,3.000000000000000000e+00
7.811706625951745156e-03,8.022626498976284104e-01,7.500000000000000000e-01
1.389139705019461560e-02,8.027980581552469630e-01,2.500000000000000000e-01
2.470278535103651030e-02,8.019109785605760266e-01,2.500000000000000000e-01
4.392845456035934792e-02,8.032971416820893218e-01,2.500000000000000000e-01
7.811706625951746197e-02,8.031083839113040135e-01,2.500000000000000000e-01
1.389139705019461490e-01,8.031690382359163438e-01,2.500000000000000000e-01
2.470278535103651030e-01,8.037350314444110522e-01,2.500000000000000000e-01
4.392845456035935348e-01,8.037938930447765529e-01,2.500000000000000000e-01
7.811706625951745364e-01,8.013932175546732983e-01,0.000000000000000000e+00
