# surftimeprefactor,average_velocity_axis_2_t_inf__params_0o1,average_velocity_axis_2_t_inf__params_0o2,average_velocity_axis_2_t_inf__params_0o8,average_velocity_axis_2_t_inf__params_0o05,average_velocity_axis_2_t_inf__params_0o4
0.000000000000000000e+00,1.016010999754224098e-01,2.023597476533349759e-01,8.074379997755982696e-01,5.103191156522259714e-02,4.050545609587774543e-01
6.122448979591836593e-02,1.040165970833912823e-01,2.043933133887253784e-01,8.045130586716423560e-01,5.300836678484761866e-02,4.051888067354889600e-01
1.224489795918367319e-01,1.062383191226908830e-01,2.061992828460670890e-01,8.013805034900678415e-01,5.484915974129297989e-02,4.051389152790940695e-01
1.836734693877550839e-01,1.082719061666333749e-01,2.077843244014997981e-01,7.980402926550620446e-01,5.655810979707145275e-02,4.049084144128851648e-01
2.448979591836734637e-01,1.101229982885308378e-01,2.091551064311632790e-01,7.944923845908119509e-01,5.813903631469579530e-02,4.045008319601543501e-01
3.061224489795918435e-01,1.117972355616954072e-01,2.103182973111972776e-01,7.907367377215045456e-01,5.959575865667878641e-02,4.039196957441940072e-01
3.673469387755101678e-01,1.133002580594392045e-01,2.112805654177415393e-01,7.867733104713269254e-01,6.093209618553319801e-02,4.031685335882962407e-01
4.285714285714285476e-01,1.146377058550743372e-01,2.120485791269358100e-01,7.826020612644661867e-01,6.215186826377179508e-02,4.022508733157535432e-01
4.897959183673469274e-01,1.158152190219129407e-01,2.126290068149198076e-01,7.782229485251094259e-01,6.325889425390736343e-02,4.011702427498579082e-01
5.510204081632652517e-01,1.168384376332671087e-01,2.130285168578333332e-01,7.736359306774436284e-01,6.425699351845265417e-02,3.999301697139018841e-01
6.122448979591836871e-01,1.177130017624489905e-01,2.132537776318161049e-01,7.688409661456560018e-01,6.514998541992043923e-02,3.985341820311775196e-01
6.734693877551020114e-01,1.184445514827706658e-01,2.133114575130078128e-01,7.638380133539335315e-01,6.594168932082351831e-02,3.969858075249772522e-01
7.346938775510203357e-01,1.190387268675442839e-01,2.132082248775482580e-01,7.586270307264633139e-01,6.663592458367460780e-02,3.952885740185931307e-01
7.959183673469387710e-01,1.195011679900819662e-01,2.129507481015771864e-01,7.532079766874323346e-01,6.723651057098652128e-02,3.934460093353176480e-01
8.571428571428570953e-01,1.198375149236958342e-01,2.125456955612343712e-01,7.475808096610276898e-01,6.774726664527203068e-02,3.914616412984427973e-01
9.183673469387755306e-01,1.200534077416979678e-01,2.119997356326594196e-01,7.417454880714365872e-01,6.817201216904388017e-02,3.893389977312611827e-01
9.795918367346938549e-01,1.201544865174005022e-01,2.113195366919922435e-01,7.357019703428459012e-01,6.851456650481484167e-02,3.870816064570646864e-01
1.040816326530612290e+00,1.201463913241155868e-01,2.105117671153725056e-01,7.294502148994429502e-01,6.877874901509770100e-02,3.846929952991459123e-01
1.102040816326530503e+00,1.200347622351553428e-01,2.095830952789399515e-01,7.229901801654144977e-01,6.896837906240523008e-02,3.821766920807970203e-01
1.163265306122448939e+00,1.198252393238318364e-01,2.085401895588342991e-01,7.163218245649478622e-01,6.908727600925021473e-02,3.795362246253101146e-01
1.224489795918367374e+00,1.195234626634572445e-01,2.073897183311953496e-01,7.094451065222300290e-01,6.913925921814537134e-02,3.767751207559776327e-01
1.285714285714285587e+00,1.191350723273436329e-01,2.061383499721628487e-01,7.023599844614480947e-01,6.912814805160349962e-02,3.738969082960917345e-01
1.346938775510204023e+00,1.186657083888031511e-01,2.047927528578764866e-01,6.950664168067890447e-01,6.905776187213739925e-02,3.709051150689448018e-01
1.408163265306122458e+00,1.181210109211479203e-01,2.033595953644760645e-01,6.875643619824399755e-01,6.893192004225980052e-02,3.678032688978289944e-01
1.469387755102040671e+00,1.175066199976900344e-01,2.018455458681012726e-01,6.798537784125880945e-01,6.875444192448348923e-02,3.645948976060366387e-01
1.530612244897959107e+00,1.168281756917416564e-01,2.002572727448919121e-01,6.719346245214202762e-01,6.852914688132125121e-02,3.612835290168598945e-01
1.591836734693877542e+00,1.160913180766148523e-01,1.986014443709876176e-01,6.638068587331237280e-01,6.825985427528581673e-02,3.578726909535911993e-01
1.653061224489795977e+00,1.153016872256217712e-01,1.968847291225283014e-01,6.554704394718853244e-01,6.795038346888998548e-02,3.543659112395226574e-01
1.714285714285714191e+00,1.144649232120745208e-01,1.951137953756536259e-01,6.469253251618924949e-01,6.760455382464654328e-02,3.507667176979466506e-01
