# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000195e-01,5.001254287302796253e-02,8.154826509641816164e-04
1.794000000000000039e+00,5.480426629797847948e-02,7.388609393063520292e-04
2.690999999999999837e+00,5.832168767597829123e-02,6.832469355559416197e-04
3.581500000000000128e+00,6.042935730366082170e-02,6.420569098790266218e-04
4.478500000000000369e+00,6.186110658852463084e-02,6.051630025727867436e-04
5.375499999999999723e+00,6.290174894125306893e-02,5.738362308417880534e-04
6.272499999999999964e+00,6.369248856783757406e-02,5.478228344444008389e-04
7.169500000000000206e+00,6.427369195500984289e-02,5.249796105912411586e-04
8.066499999999999559e+00,6.462788233756970591e-02,5.018629035112701954e-04
8.963499999999999801e+00,6.494603967502429742e-02,4.808308483904554518e-04
9.853999999999999204e+00,6.521846879908815842e-02,4.628853902100615392e-04
1.075099999999999945e+01,6.549522061259423211e-02,4.466739307261719384e-04
1.164799999999999969e+01,6.575415469255625756e-02,4.331153133589638613e-04
1.254499999999999993e+01,6.599532465217566868e-02,4.210457833072544999e-04
1.344200000000000017e+01,6.625351361828862862e-02,4.099207149729926268e-04
1.433900000000000041e+01,6.651596764865551348e-02,4.003826512298513658e-04
1.523600000000000065e+01,6.675564877728308588e-02,3.914944892243074842e-04
1.613299999999999912e+01,6.699452628004554100e-02,3.828019233932909715e-04
1.702349999999999852e+01,6.720604333751301063e-02,3.743855111158494878e-04
1.792050000000000054e+01,6.740820109854890607e-02,3.663336172745157264e-04
1.881749999999999901e+01,6.758407905875386812e-02,3.589493194585637774e-04
1.971450000000000102e+01,6.773693668856659023e-02,3.517688326602679623e-04
2.061149999999999949e+01,6.784490491222133768e-02,3.448089400433769036e-04
2.150850000000000151e+01,6.792511614725230129e-02,3.382938847259151231e-04
2.240549999999999997e+01,6.803390203644221756e-02,3.319803594504219585e-04
2.329599999999999937e+01,6.811980566336742204e-02,3.261169270102275250e-04
2.419300000000000139e+01,6.821784188042709363e-02,3.207840381631234423e-04
2.508999999999999986e+01,6.830417748546829815e-02,3.155448634068683126e-04
2.598699999999999832e+01,6.839439593344485979e-02,3.109181082167141613e-04
