# pos_1,average_velocity_axis
1.389139705019461386e-03,4.588870730770799877e-02
2.470278535103650856e-03,4.866101172271908304e-02
4.392845456035934966e-03,5.584457401735186399e-02
7.811706625951745156e-03,6.503131225239289215e-02
1.389139705019461560e-02,7.507721357277351293e-02
2.470278535103651030e-02,7.551356669686491718e-02
4.392845456035934792e-02,7.156200334394388629e-02
7.811706625951746197e-02,6.987876579334796612e-02
1.389139705019461490e-01,6.651509402276123417e-02
2.470278535103651030e-01,6.582897366867554445e-02
4.392845456035935348e-01,6.118699688898988909e-02
7.811706625951745364e-01,5.456561285123742722e-02
