# pos_1,concentration
1.389139705019461386e-03,1.608117135601556891e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,1.017062578569353226e+00
7.811706625951745156e-03,2.859681591171018278e-01
1.389139705019461560e-02,9.648702813609337792e-01
2.470278535103651030e-02,1.718190370081426943e+00
4.392845456035934792e-02,7.627969339270147531e-01
7.811706625951746197e-02,1.143872636468407311e+00
1.389139705019461490e-01,9.970326240729648903e-01
2.470278535103651030e-01,9.314400427283521244e-01
4.392845456035935348e-01,1.017062578569353448e+00
7.811706625951745364e-01,1.000888556909856231e+00
