# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,reorientationtime
1.000000000000000000e+01,-4.080210882276674722e-02,2.711198109062186792e-02,1.880887995408726462e-02,3.599473213137477368e-02,-3.524592783396511726e-03,2.417838272124113452e-02,4.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,1.152958930557623947e-02,5.982173214594723593e-02,4.782047222899180050e-02,6.308140080497127988e-02,-2.815071031106277863e-02,4.358149005071090820e-02,8.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,-8.578115718604317416e-03,6.743129161082751788e-03,-1.387802053041553184e-03,9.137063304090654522e-03,-5.135163868373783351e-03,6.468260152390111796e-03,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,-7.567983620150969815e-02,6.157294381539134276e-02,3.786416308925615037e-03,6.286359829868577720e-02,-1.000161283055892199e-02,4.067465569527885932e-02,8.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.529563864753904177e-02,6.663743808254817859e-03,-3.170089656043398926e-03,9.089438394783322384e-03,-2.357087510085875779e-03,6.681200874603852868e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-6.634043805145223294e-02,2.670433530462982749e-02,1.164175400193396062e-02,3.421234966320394616e-02,-1.051731185247328434e-02,2.488544977754000853e-02,4.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.151603558163367680e-01,5.503841646118077385e-02,2.270104503161868986e-02,6.312698243857697844e-02,-1.031542239520847476e-02,4.265489264490842508e-02,8.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,-1.683860871614740670e-02,6.751661016777893258e-03,-1.524474279362866228e-03,9.017647890014362719e-03,-1.029236822508545427e-03,6.660753344557663810e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,-5.392747840431912076e-02,2.777071690570782209e-02,3.570740697173077280e-03,3.641866647467960350e-02,6.032929020055326566e-03,2.477044381948547910e-02,4.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,-4.766412862935232031e-02,2.767172130103965136e-02,-1.992231551463145151e-02,3.855807293459879992e-02,1.594139527133632203e-02,2.521271663734079085e-02,4.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,-5.691233434406859498e-02,5.879972371846293316e-02,-1.120832755323554128e-04,6.164024691398865829e-02,-2.770182621444465532e-02,4.357126387260259331e-02,8.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,-1.100122087921283701e-02,6.708010233954860187e-03,6.656128294555928998e-03,9.030646757982188980e-03,-6.728781624290333489e-04,6.699230956653276156e-03,1.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,-7.327647284581162088e-03,6.731174829980569874e-03,-3.199401874898462859e-03,9.079606640803887865e-03,2.266259716001140824e-03,6.782189977552380289e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+01,-1.869102820881137633e-02,2.673848979582937185e-02,4.378605757637530488e-02,3.471084433089243609e-02,1.694110603933905723e-02,2.539486196268838855e-02,4.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+01,-3.014859512472495978e-02,5.431722035191737658e-02,2.215452409049441240e-02,6.285716381419631515e-02,-2.283747281168774929e-02,4.940201167834570861e-02,8.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+01,-2.371280174238591526e-02,2.754934785251692692e-02,3.343639454687194479e-02,3.615575479879028220e-02,9.075684278769310248e-03,2.650390898922556221e-02,4.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+01,-2.516172326472206067e-02,5.164339926563627642e-02,-2.950345789123412152e-02,7.190958482281810393e-02,2.494137988964707786e-02,5.315879077974962341e-02,8.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+01,-7.638583340558457307e-03,6.766639521833870026e-03,-4.029481041438180700e-03,9.079732835372725935e-03,6.036673162437779152e-04,6.631316363665632277e-03,1.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+01,-3.004307081357164566e-02,2.687430867850932464e-02,1.901837447744823828e-02,3.636602391240133930e-02,-1.229321261763271014e-02,2.549671417501803844e-02,4.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+01,-4.106188091756651087e-02,4.884428625663277124e-02,-4.474990041054404538e-03,7.028077132820234607e-02,1.614404687343781036e-02,4.776232853678711449e-02,8.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+01,-1.229255764642975084e-03,6.651991516273359460e-03,1.410518247571183100e-03,9.022942571134930090e-03,8.688507395688810754e-04,6.725295595333533397e-03,1.000000000000000000e+00,6.000000000000000000e+00
1.000000000000000000e+01,3.670467358481427876e-03,2.811164072435672068e-02,-7.109724430113665596e-04,3.403542619146162490e-02,-9.724858038548514494e-03,2.636627034737877920e-02,4.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000000e+01,-7.822702404519098207e-02,4.586216816901506066e-02,3.438405844299890352e-02,7.233363922973939930e-02,-1.464857765946817741e-02,5.081311526044704485e-02,8.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000000e+01,-5.846704709155816845e-03,6.615004049115602927e-03,-1.508985644277176762e-05,9.081949503869682708e-03,2.777491659993192898e-03,6.686709251495758129e-03,1.000000000000000000e+00,7.000000000000000000e+00
1.000000000000000000e+01,-3.749869044550459968e-02,2.661557444481157247e-02,-1.196303819939131124e-02,3.424518960951915963e-02,3.431744379639688203e-03,2.637275340244013208e-02,4.000000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+01,-3.187360625457924361e-03,6.642730093797553394e-03,6.853339445074860606e-03,9.009582313895475938e-03,1.209297142304926109e-03,6.736323501303599984e-03,1.000000000000000000e+00,8.000000000000000000e+00
1.000000000000000000e+01,-6.454043872475490051e-02,5.403786028630366833e-02,2.717259432488503684e-02,6.456716404347619120e-02,-1.646778036423964323e-02,5.600836016368262310e-02,8.000000000000000000e+00,8.000000000000000000e+00
