# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,1.345752520893896131e-02,1.327870463102894666e-02
6.899999999999999467e-01,1.306817733101223004e-02,1.277921159232542521e-02
1.034000000000000030e+00,1.224334339016410443e-02,1.236035234992966143e-02
1.379999999999999893e+00,1.266783641870471155e-02,1.195481717084062069e-02
1.723999999999999977e+00,1.326032973995341230e-02,1.160480024331472619e-02
2.068000000000000060e+00,1.420082750449558687e-02,1.128128681114090939e-02
2.414000000000000146e+00,1.351667559354287340e-02,1.098904131216914444e-02
2.758000000000000007e+00,1.247678946757160845e-02,1.070114980342303131e-02
3.101999999999999869e+00,1.182627670907882185e-02,1.042588606872780523e-02
3.447999999999999954e+00,1.181479543876205393e-02,1.018048996763831586e-02
3.791999999999999815e+00,1.207309726119544513e-02,9.960336925487074319e-03
4.137999999999999901e+00,1.214919110275570861e-02,9.752457658553917094e-03
4.482000000000000206e+00,1.177169956409840693e-02,9.555079483016750905e-03
4.825999999999999623e+00,1.153457996986537865e-02,9.360461842784119010e-03
5.171999999999999709e+00,1.165546853286023553e-02,9.167458160790434643e-03
5.516000000000000014e+00,1.177812523458036595e-02,8.982934219947658755e-03
5.860000000000000320e+00,1.190319047218296906e-02,8.797008366923306233e-03
6.206000000000000405e+00,1.190670413460763813e-02,8.606913658118404281e-03
6.549999999999999822e+00,1.186394357928792845e-02,8.413836052866580095e-03
6.895999999999999908e+00,1.157718332737615007e-02,8.221178917540136744e-03
7.240000000000000213e+00,1.163434949000237417e-02,8.033791705392803392e-03
7.583999999999999631e+00,1.162892979811012625e-02,7.852990740990346136e-03
7.929999999999999716e+00,1.166663221092272169e-02,7.679540413336983021e-03
8.273999999999999133e+00,1.167032938093444210e-02,7.501701710947614524e-03
8.618000000000000327e+00,1.167573068246511442e-02,7.328985358296465948e-03
8.964000000000000412e+00,1.185096308356254832e-02,7.156349920100912344e-03
9.307999999999999829e+00,1.217817427664290991e-02,6.980661664003795508e-03
9.653999999999999915e+00,1.241608927939924674e-02,6.809470461950464619e-03
9.997999999999999332e+00,1.249200968123312383e-02,6.646963030613963277e-03
