# value,p_u_x,p_u_y,p_u_z
-8.137499999999999734e-01,1.867862859356853311e-01,1.311812187494946769e-01,1.118661602619563933e-01
-7.612499999999999822e-01,2.339373186296786478e-01,1.718944289744722409e-01,1.498560308597834401e-01
-7.087499999999999911e-01,2.901206008106780865e-01,2.192788686071435733e-01,1.991305827993241628e-01
-6.562500000000000000e-01,3.480704218995117616e-01,2.739294489173774161e-01,2.563232468876286974e-01
-6.037500000000000089e-01,4.194833565521858820e-01,3.372531118364078817e-01,3.245130771566857586e-01
-5.512499999999999067e-01,4.985717543377800598e-01,4.057956730173114535e-01,4.039966140241020298e-01
-4.987499999999999156e-01,5.777152221457629855e-01,4.858078928608029479e-01,4.831686992815555914e-01
-4.462499999999999800e-01,6.586136726702902511e-01,5.687049765076529484e-01,5.658204213274552474e-01
-3.937499999999999889e-01,7.409118525507083497e-01,6.524180197088594868e-01,6.539103964980954586e-01
-3.412499999999999423e-01,8.183774362674763880e-01,7.309408133036510158e-01,7.499373865020754204e-01
-2.887499999999999512e-01,8.898384042774726277e-01,8.014247613565790296e-01,8.379581348795877016e-01
-2.362499999999999600e-01,9.444669547815807142e-01,8.680063935589165114e-01,9.056221828689694497e-01
-1.837499999999999689e-01,9.932042560950975485e-01,9.224556469673028669e-01,9.683334006040443809e-01
-1.312499999999999778e-01,1.030179415563812872e+00,9.676543235908487972e-01,1.019022346418660963e+00
-7.874999999999998668e-02,1.045076961492697576e+00,9.964368207874393368e-01,1.042065465970906990e+00
-2.624999999999999556e-02,1.037174917858966428e+00,1.016046420486907520e+00,1.050962907942376123e+00
2.624999999999999556e-02,1.014435435778500150e+00,1.017457008706698085e+00,1.049190326638370419e+00
7.874999999999998668e-02,9.725984419825539629e-01,9.986184277834048162e-01,1.027982836981740089e+00
1.312499999999999778e-01,9.157862667726590633e-01,9.633005407031911549e-01,9.862094423080441929e-01
1.837500000000000244e-01,8.503253605847073127e-01,9.140426771145456764e-01,9.331302302049668818e-01
2.362500000000000711e-01,7.780476389484083377e-01,8.502759480136129477e-01,8.688515032021929541e-01
2.887500000000000622e-01,7.001064688614911935e-01,7.803941268815864918e-01,7.828734289299852378e-01
3.412500000000000533e-01,6.180629240085059317e-01,6.978850028476855094e-01,7.026561711918360986e-01
3.937500000000000444e-01,5.381105261384000471e-01,6.251813077763245241e-01,6.169134455517110149e-01
4.462500000000000355e-01,4.593749345425596764e-01,5.517510258293536474e-01,5.326783825069905109e-01
4.987500000000000266e-01,3.822350798321687559e-01,4.807228634157784120e-01,4.572808948613372171e-01
5.512500000000000178e-01,3.110027950715752443e-01,4.151022159152680802e-01,3.777246106501925826e-01
6.037500000000000089e-01,2.512472980855942617e-01,3.504569053511540355e-01,3.077987078595001980e-01
6.562500000000000000e-01,1.976953237359295457e-01,2.895035292289339091e-01,2.440298639204054043e-01
7.087499999999999911e-01,1.511067589203238526e-01,2.330654091891798951e-01,1.907525529017574661e-01
7.612499999999999822e-01,1.119424876548828635e-01,1.847092282946683761e-01,1.422885814143964311e-01
8.137499999999999734e-01,8.301247483144819084e-02,1.459240113365410652e-01,1.047710142124422816e-01
