# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-1.114062500000000000e+01,5.830031409209631733e-04,2.773850763169491158e-03,3.444257343158516407e-03,3.101187073571108014e-03,9.952539871771800412e-04,4.030291585792405984e-03,2.443002848992662304e-03,3.337444179192665655e-03,1.108528148232641774e-03
-1.042187500000000000e+01,9.354206712817163694e-04,3.992020592801031123e-03,4.759084913372252194e-03,4.469120939035758043e-03,1.608639721511255938e-03,5.568505884140447990e-03,3.507784420626937263e-03,4.464857164578337964e-03,1.604767459852570084e-03
-9.703125000000000000e+00,1.566426498098112121e-03,5.870055634165576713e-03,6.700523868052388546e-03,6.271797571753468317e-03,2.582823636645152111e-03,7.470109793354284128e-03,4.991354531360517148e-03,6.018053899454934783e-03,2.582915362567426466e-03
-8.984375000000000000e+00,2.600314174059352706e-03,7.895653789674252077e-03,8.926566542330481233e-03,8.566564342902680679e-03,3.956777818950039591e-03,1.015952056829694597e-02,7.025294831670715438e-03,8.495686396259657588e-03,3.958470441033005646e-03
-8.265625000000000000e+00,4.081055978629103201e-03,1.082020561293123989e-02,1.202430319278699304e-02,1.162245958848698128e-02,5.820629176704345507e-03,1.363706930013936468e-02,9.849220960727340241e-03,1.153046150046893766e-02,5.994317677699551733e-03
-7.546875000000000000e+00,6.150153838483672468e-03,1.461255181337161625e-02,1.615244521824601986e-02,1.558193516312136352e-02,8.860584698680092422e-03,1.785904516692612617e-02,1.354942336482413412e-02,1.537600218245729379e-02,8.747860796506299816e-03
-6.828125000000000000e+00,9.430555649723774969e-03,1.979381114081789697e-02,2.111065045250485814e-02,2.061130914171267758e-02,1.310440738252762784e-02,2.344066891843473582e-02,1.885259430988890303e-02,2.069971081572365146e-02,1.279607963061846557e-02
-6.109375000000000000e+00,1.444022536869706344e-02,2.636495827865062772e-02,2.718893591499654469e-02,2.732432154649831052e-02,1.858802278336724526e-02,3.040808277466411358e-02,2.548658277541117692e-02,2.725860284350481791e-02,1.891597190156107944e-02
-5.390625000000000000e+00,2.122341326075885201e-02,3.438942681149376179e-02,3.476379768414086802e-02,3.565945291896521763e-02,2.602097860191061179e-02,3.843343220132155319e-02,3.419767893268807479e-02,3.547018424975474649e-02,2.666326587879610036e-02
-4.671875000000000000e+00,3.032716496390867184e-02,4.418459730751775338e-02,4.441472624782738521e-02,4.521966949563061000e-02,3.623722398835563241e-02,4.710425517150629987e-02,4.483027148252020921e-02,4.547876793574420068e-02,3.666963905332974033e-02
-3.953125000000000000e+00,4.265233669938013616e-02,5.582936791985663311e-02,5.649968626736957822e-02,5.649871179872444082e-02,4.916456139268910591e-02,5.769216273036055498e-02,5.653687799526549429e-02,5.718949408604814127e-02,4.967640338946414241e-02
-3.234375000000000000e+00,5.761219815759570373e-02,6.930704767473050421e-02,6.918411727002143907e-02,6.959067317030767641e-02,6.491346221869168098e-02,6.945524610078321337e-02,7.084564194897122191e-02,6.992230216586073355e-02,6.522643600759051030e-02
-2.515625000000000000e+00,7.579381965249724906e-02,8.187038463377704911e-02,8.238178039474398917e-02,8.256321795536780694e-02,8.280334748638534803e-02,8.038022309612462279e-02,8.491880256954004169e-02,8.192677256347050130e-02,8.343537373201539986e-02
-1.796875000000000000e+00,9.634967036837925602e-02,9.400017429808694980e-02,9.420960634016532775e-02,9.480884416239952761e-02,1.014167678156557839e-01,9.027832795345257233e-02,9.810848005006929384e-02,9.336858536994603608e-02,1.021873334509404430e-01
-1.078125000000000000e+00,1.158390507618144716e-01,1.040044846228839609e-01,1.028724814624052963e-01,1.037336701556284407e-01,1.203717626195614232e-01,9.792824007836112288e-02,1.075917865774243393e-01,1.020104637006744586e-01,1.204033610653582886e-01
-3.593750000000000000e-01,1.334031041114308591e-01,1.113645324363460032e-01,1.080091035227690732e-01,1.085015041413838338e-01,1.338851807964046847e-01,1.030731209118675717e-01,1.119223137297074150e-01,1.074641620606629211e-01,1.332150463923814088e-01
3.593750000000000000e-01,1.440898928504764920e-01,1.126034000502961624e-01,1.077725308238282470e-01,1.083725238312668315e-01,1.407798318803759330e-01,1.020067951036143505e-01,1.129695052430662594e-01,1.077855013875815698e-01,1.397997539007077850e-01
1.078125000000000000e+00,1.457096841583687408e-01,1.067322923296228077e-01,1.023206216348570147e-01,1.037168906803398322e-01,1.387761062059130746e-01,9.716071003004435325e-02,1.067422679051395068e-01,1.041713925725663570e-01,1.373151581701448354e-01
1.796875000000000000e+00,1.367518505632141779e-01,9.801679612717928425e-02,9.367802469126948472e-02,9.429883182876780401e-02,1.254852959974365467e-01,8.975889991904119347e-02,9.594357887592895595e-02,9.581881232230628209e-02,1.254525522938293725e-01
2.515625000000000000e+00,1.163783224484212647e-01,8.563203026070045909e-02,8.250561175574104567e-02,8.354149550479370023e-02,1.049688690669968866e-01,7.974675106133656544e-02,8.374019954393038812e-02,8.388802841381855224e-02,1.043158347214123566e-01
