# time,average_velocity_axis_0_t_inf,95CLI,vs,reorientationtime
9.996000000000000441e+00,1.065475320010816906e-01,3.047326087649734633e-03,5.000000000000000000e-01,0.000000000000000000e+00
9.996000000000000441e+00,2.151460130927370651e-01,6.101271963958002087e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,4.248810309279961728e-01,1.099385099080057819e-02,2.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,8.523248189900959337e-01,1.948637193293758715e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.706085096538615398e+00,2.442708475003793622e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.118380722288915941e+00,1.982093474864191421e-02,1.000000000000000000e+01,0.000000000000000000e+00
9.996000000000000441e+00,6.855367410636129533e-01,4.788341235912056161e-03,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.550415809487857732e+00,3.721262828834389930e-03,8.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.341522988101490621e-01,6.290562678430538721e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.466604623685411557e+00,4.157301295159897790e-03,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,9.423923133706607613e-02,6.043019705709006158e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,6.082893913424745058e-01,4.946204208963802910e-03,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.337114338020364279e+00,5.443402556471201546e-03,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,6.099547690169818126e-02,6.233324206949911357e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,5.080700444240195957e-01,5.326667309786460580e-03,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,4.306973578493897836e-01,5.665435090058873469e-03,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.221165961697178837e+00,7.471419457990974983e-03,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,4.073183795002376095e-02,6.028825040655641856e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.923310593768757223e-02,5.964703621856290439e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.692513207431409872e-01,6.781246496643212121e-03,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.100281979491015250e+00,1.033702961989329920e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.185921663587309993e-01,7.295529182848260220e-03,4.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.008728645364395549e+00,1.258133944265269616e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.144943915066026274e-02,6.129847026458873187e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.743826060697716618e-01,7.329989230114694956e-03,4.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,9.113662856744260132e-01,1.495520702891194563e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.137175524506677859e-02,5.948995146373948009e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.376632763456945074e-01,8.477469072356500629e-03,4.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,8.276893407753725951e-01,1.712623512153785971e-02,8.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,2.272929806688300108e-02,5.890430243166620838e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,2.133260500489257971e-01,8.477418648233772669e-03,4.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.765468013377225615e-02,6.297798730916956585e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,7.705616104840373737e-01,1.830282487107634179e-02,8.000000000000000000e+00,8.000000000000000000e+00
