# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.795048969655797522e-01,5.620742671515876338e-02
6.899999999999999467e-01,2.952529480865035971e-01,5.167970561911329475e-02
1.034999999999999920e+00,3.986329049667874935e-01,4.683534119326421274e-02
1.379999999999999893e+00,4.813440946274909482e-01,4.321564261664570528e-02
1.721999999999999975e+00,5.469295332462253967e-01,4.002326256313009506e-02
2.067000000000000171e+00,6.033152477926946311e-01,3.723783618879441398e-02
2.411999999999999922e+00,6.441143501243781211e-01,3.459258175647010602e-02
2.757000000000000117e+00,6.831102173161497371e-01,3.230915093311324121e-02
3.101999999999999869e+00,7.187501570937098183e-01,3.034181238263228969e-02
3.447000000000000064e+00,7.446946433266246057e-01,2.865171567067588063e-02
3.791999999999999815e+00,7.690070154375165945e-01,2.699555206803568377e-02
4.136999999999999567e+00,7.874077326659566500e-01,2.555965668308474506e-02
4.482000000000000206e+00,8.040636347473226753e-01,2.419154887382281294e-02
4.826999999999999957e+00,8.168297258989150045e-01,2.306970920393072375e-02
5.168999999999999595e+00,8.303168558957245704e-01,2.211692931395565359e-02
5.514000000000000234e+00,8.420735714275593420e-01,2.128456312039117213e-02
5.858999999999999986e+00,8.501840546128285325e-01,2.063289107334954561e-02
6.203999999999999737e+00,8.587362938099412091e-01,1.994156826544410399e-02
6.549000000000000377e+00,8.636799120691135423e-01,1.929224152273329926e-02
6.894000000000000128e+00,8.701604202930084409e-01,1.869460855726229331e-02
7.238999999999999879e+00,8.766749185455950943e-01,1.815436622183371276e-02
7.583999999999999631e+00,8.810235047159316046e-01,1.763730671704506758e-02
7.929000000000000270e+00,8.858758323381732414e-01,1.722755998141083794e-02
8.273999999999999133e+00,8.907078733787694436e-01,1.686039289781807865e-02
8.615999999999999659e+00,8.962787267601700636e-01,1.643095655505706632e-02
8.961000000000000298e+00,9.007800358628710313e-01,1.602704862305177544e-02
9.305999999999999162e+00,9.051481366398359540e-01,1.564540453190403982e-02
9.650999999999999801e+00,9.085782856860686874e-01,1.530376162544983508e-02
9.996000000000000441e+00,9.113662856744260132e-01,1.495520702891194563e-02
