# proportion,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_3o0
0.000000000000000000e+00,6.224977146470171002e-02,4.617168092966091042e-02
4.081632653061224403e+01,-1.189235043991443003e-01,-8.985357236991636798e-02
8.163265306122448806e+01,-1.154370584576164038e+00,-8.412374405977425251e-01
1.224489795918367321e+02,-2.989079979325219405e+00,-2.168338952375619133e+00
1.632653061224489761e+02,-5.568040198905172211e+00,-4.031517136325347472e+00
2.040816326530612059e+02,-8.836239753574883338e+00,-6.391131021068729545e+00
2.448979591836734642e+02,-1.273866715359321766e+01,-9.207539635227568908e+00
2.857142857142857224e+02,-1.722031090921903740e+01,-1.244110200742366601e+01
3.265306122448979522e+02,-2.222615953071119677e+01,-1.605217716627881330e+01
3.673469387755101820e+02,-2.770120152832857130e+01,-2.000112414041482722e+01
4.081632653061224119e+02,-3.359042541232999923e+01,-2.424830195845349934e+01
4.489795918367346985e+02,-3.983881969297438275e+01,-2.875406964901664253e+01
4.897959183673469283e+02,-4.639137288052054231e+01,-3.347878624072603770e+01
5.306122448979591582e+02,-5.319307348522735879e+01,-3.838281076220351196e+01
5.714285714285714448e+02,-6.018891001735370594e+01,-4.342650224207085330e+01
6.122448979591836178e+02,-6.732387098715840068e+01,-4.857021970894985685e+01
6.530612244897959044e+02,-7.454294490490033809e+01,-5.377432219146231773e+01
6.938775510204081911e+02,-8.179112028083844166e+01,-5.899916871823008790e+01
7.346938775510203641e+02,-8.901338562523145015e+01,-6.420511831787490564e+01
7.755102040816326507e+02,-9.615472944833830127e+01,-6.935253001901861580e+01
8.163265306122448237e+02,-1.031601402604178048e+02,-7.440176285028297798e+01
8.571428571428571104e+02,-1.099746065717289412e+02,-7.931317584028984413e+01
8.979591836734693970e+02,-1.165431168925304348e+02,-8.404712801766096675e+01
9.387755102040815700e+02,-1.228106597330812377e+02,-8.856397841101821200e+01
9.795918367346938567e+02,-1.287222236036400886e+02,-9.282408604898327553e+01
1.020408163265306143e+03,-1.342227970144660105e+02,-9.678780996017808036e+01
1.061224489795918316e+03,-1.392573684758177421e+02,-1.004155091732243648e+02
1.102040816326530603e+03,-1.437709264979542638e+02,-1.036675427167439238e+02
1.142857142857142890e+03,-1.477084595911343570e+02,-1.065042696193585527e+02
1.183673469387755176e+03,-1.510149562656169451e+02,-1.088860489096900608e+02
1.224489795918367236e+03,-1.536354050316607527e+02,-1.107732396163603426e+02
1.265306122448979522e+03,-1.555147943995247601e+02,-1.121262007679910653e+02
1.306122448979591809e+03,-1.565981128794676920e+02,-1.129052913932040667e+02
1.346938775510204096e+03,-1.568303489817487275e+02,-1.130708705206212699e+02
1.387755102040816382e+03,-1.561564912166264207e+02,-1.125832971788642567e+02
1.428571428571428442e+03,-1.545215280943597236e+02,-1.114029303965549502e+02
1.469387755102040728e+03,-1.518704481252075880e+02,-1.094901292023151882e+02
1.510204081632653015e+03,-1.481482398194286247e+02,-1.068052526247666947e+02
1.551020408163265301e+03,-1.432998916872819564e+02,-1.033086596925314211e+02
1.591836734693877588e+03,-1.372703922390262505e+02,-9.896070943423092103e+01
1.632653061224489647e+03,-1.300047299849205729e+02,-9.372176087848714587e+01
1.673469387755101934e+03,-1.214478934352237047e+02,-8.755217305392181970e+01
1.714285714285714221e+03,-1.115448711001945412e+02,-8.041230498915706448e+01
1.755102040816326507e+03,-1.002406514900918637e+02,-7.226251571281420638e+01
1.795918367346938794e+03,-8.748022311517433991e+01,-6.306316425351531052e+01
1.836734693877551081e+03,-7.320857448570131965e+01,-5.277460963988210096e+01
1.877551020408163140e+03,-5.737069411193147062e+01,-4.135721090053652915e+01
1.918367346938775427e+03,-3.991157050412311946e+01,-2.877132706409997809e+01
1.959183673469387713e+03,-2.077619217253584338e+01,-1.497731715919485396e+01
2.000000000000000000e+03,9.045237257146254706e-02,6.445978555734654947e-02
