# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,reorientationtime,proportion
9.999000000000000554e+00,-5.161249443602490550e-02,3.023156224177057927e-03,1.756409255844142321e-03,3.153176734113456378e-03,-2.939317356889949769e-03,2.848798802418148462e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,-4.212050134416476382e-02,3.057513008834924530e-03,2.059217224670297462e-03,3.190373288237102409e-03,-2.656137640098933748e-03,2.813572340770298559e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,-5.031951463423135762e-02,3.004905282571009115e-03,2.961122034577453807e-03,3.133352780158042607e-03,-2.589864343415496008e-03,2.758069395144759507e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
9.999000000000000554e+00,-3.770414814275913767e-02,3.023510882187498486e-03,2.161482315182469693e-03,3.185648859977970038e-03,8.240629854253789634e-04,2.813091482852808287e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.222222222222222321e+00
9.999000000000000554e+00,-4.351008696781151486e-02,2.987457729257655785e-03,-2.115716970936868356e-03,3.133667244509483110e-03,-8.887180889017466797e-04,2.774804452602926564e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+00
9.999000000000000554e+00,-3.324909292867989086e-02,2.972309215156822716e-03,1.526772699586060114e-03,3.106824376403047837e-03,-8.756333364430627644e-04,2.756748885835868038e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+00
9.999000000000000554e+00,-4.000124187555066657e-02,2.935854858030242237e-03,2.772937815537481789e-03,3.117111907900591613e-03,-1.576125455548535361e-03,2.722956786142599270e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.857142857142857428e+00
9.999000000000000554e+00,-2.657487890149020510e-02,2.964202128245124138e-03,6.445453624118982917e-04,3.059338473012953880e-03,-8.221599195053541686e-04,2.694649793212784868e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.857142857142857428e+00
9.999000000000000554e+00,-2.528023431158495093e-02,2.911749374748765808e-03,1.521728255447543296e-03,3.036679102326052173e-03,-1.305394308345298815e-04,2.738650817966780272e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.333333333333333481e+00
9.999000000000000554e+00,-3.600305004663129776e-02,2.961320167219659485e-03,4.825108771751510615e-03,3.098362002461184806e-03,-1.966685093596512186e-03,2.721241032807800424e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.333333333333333481e+00
9.999000000000000554e+00,-3.285208236985415198e-02,2.999122434153934057e-03,-7.676376840354626543e-04,3.015452018041822439e-03,1.177107524393560629e-03,2.779304862225481353e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,-2.411572210169782293e-02,2.971578316663547274e-03,3.850441801898409240e-03,2.996302112429825599e-03,2.525662807379921732e-04,2.742880049765097049e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,-2.263229132171612826e-02,2.954810157454719390e-03,2.617114392917312647e-03,3.125791978809828921e-03,-2.685583565659919146e-04,2.737104930399874084e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,-3.023440644185615769e-02,2.993467215805009803e-03,1.574474083528016721e-03,3.088208041299067737e-03,1.731448912951787317e-03,2.757715642786056146e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,-2.267004985345704229e-02,2.918355805983565560e-03,2.178242667506540865e-03,3.024790691451860469e-03,-4.564237045901375000e-04,2.676481336563523664e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.666666666666666075e+00
9.999000000000000554e+00,-2.527747529690838740e-02,2.935078317487443706e-03,2.112204576076970319e-03,2.990918471296790185e-03,4.728215069876526028e-05,2.680504132588195417e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.666666666666666075e+00
9.999000000000000554e+00,-2.474744582970612658e-02,2.913083090866374226e-03,1.686133600721262480e-03,3.008581850253828037e-03,2.624866766881028303e-04,2.765058653766450190e-03,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00
9.999000000000000554e+00,-2.104117369118949435e-02,2.944944460235761081e-03,3.768022301814051393e-03,3.100555032283765135e-03,8.563482201020731176e-04,2.712819522193794276e-03,1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00
9.999000000000000554e+00,-2.677356677465776019e-02,2.969464654302750219e-03,-1.999420016558217054e-03,3.070282890815130995e-03,-2.983520390648379452e-05,2.717352495707590129e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.900000000000000000e+01
9.999000000000000554e+00,-2.373932278275790730e-02,2.920922496157602691e-03,7.901785741484532773e-04,3.035018561312850804e-03,-9.115049907499196517e-05,2.770986735492181070e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.900000000000000000e+01
9.999000000000000554e+00,-2.178787644580459232e-02,2.945069856428771029e-03,2.066566041723292939e-03,3.027321906857721647e-03,1.171609841166531283e-03,2.718124070428506057e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+03
9.999000000000000554e+00,-2.589051257653742985e-02,2.940497779177095924e-03,8.514386543589695048e-04,3.037591062226383410e-03,2.701959482615240828e-04,2.699091061779800276e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+03
