# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,5.987146385303442758e-02,9.071557293612622988e-03
6.899999999999999467e-01,7.360149279608244055e-02,7.495929157147297045e-03
1.034999999999999920e+00,7.317085196822162296e-02,6.837646850046064095e-03
1.379999999999999893e+00,7.357583113960598775e-02,6.284571686298924889e-03
1.721999999999999975e+00,7.183547714889118585e-02,5.852675388932531038e-03
2.067000000000000171e+00,7.330558622569695315e-02,5.496866652162265589e-03
2.411999999999999922e+00,7.178434133450586896e-02,5.259768551240289261e-03
2.757000000000000117e+00,7.156082767656758714e-02,4.979003132202492084e-03
3.101999999999999869e+00,7.179422770339699555e-02,4.679832525447160697e-03
3.447000000000000064e+00,7.024627747520488519e-02,4.470633422712147302e-03
3.791999999999999815e+00,6.918338199406233457e-02,4.268231392683184515e-03
4.136999999999999567e+00,6.971601021932409548e-02,4.157919929942187863e-03
4.482000000000000206e+00,7.146938655228551873e-02,3.988109313460315095e-03
4.826999999999999957e+00,7.160678388249042126e-02,3.858897149584562640e-03
5.168999999999999595e+00,7.183964556581301508e-02,3.723889665170002170e-03
5.514000000000000234e+00,7.178058390432308367e-02,3.615113460831884899e-03
5.858999999999999986e+00,7.127104363845952750e-02,3.520300730864492269e-03
6.203999999999999737e+00,7.064766895286811454e-02,3.428214084549652610e-03
6.549000000000000377e+00,7.037531351697301485e-02,3.381290102289931203e-03
6.894000000000000128e+00,6.970804758185333849e-02,3.333816690303622286e-03
7.238999999999999879e+00,6.839244305341508900e-02,3.279931075427585004e-03
7.583999999999999631e+00,6.787236512260598487e-02,3.226263075621612752e-03
7.929000000000000270e+00,6.739880037013061542e-02,3.180073456165693167e-03
8.273999999999999133e+00,6.638068525440196654e-02,3.166373336665131207e-03
8.615999999999999659e+00,6.511242381089688003e-02,3.139725702872492741e-03
8.961000000000000298e+00,6.446904307228022712e-02,3.118854935429157208e-03
9.305999999999999162e+00,6.478053633597444239e-02,3.075999033063288486e-03
9.650999999999999801e+00,6.436745008208347163e-02,3.032234490375053035e-03
9.996000000000000441e+00,6.389201808653148518e-02,2.999831966089286806e-03
