# x,y,dx,dy
0.000000000000000000e+00,-9.998999834060668945e-01,9.966808659691279715e-01,-7.255821816055785245e-02
0.000000000000000000e+00,-9.998152256011962891e-01,9.962720356330384552e-01,-7.773093274589606971e-02
0.000000000000000000e+00,-9.996585249900817871e-01,9.955319525977888162e-01,-8.689023135685634835e-02
0.000000000000000000e+00,-9.993690252304077148e-01,9.944018271799678343e-01,-1.002977331524759486e-01
0.000000000000000000e+00,-9.988340735435485840e-01,9.941912591177616276e-01,-1.048926611783937146e-01
0.000000000000000000e+00,-9.978455901145935059e-01,9.972617714160844082e-01,-7.374644172603599113e-02
0.000000000000000000e+00,-9.960189461708068848e-01,9.990028563980080101e-01,-4.040095027344909467e-02
0.000000000000000000e+00,-9.926435947418212891e-01,9.997771167976012840e-01,-2.049931756204226643e-02
0.000000000000000000e+00,-9.864064455032348633e-01,9.992101277404719095e-01,-3.667559946137043808e-02
0.000000000000000000e+00,-9.748811125755310059e-01,9.992474676876578199e-01,-3.666967542412955666e-02
0.000000000000000000e+00,-9.535841345787048340e-01,9.772162526503230806e-01,-1.716555077582601341e-01
0.000000000000000000e+00,-9.142304062843322754e-01,9.073956241234611975e-01,-4.200826698909803647e-01
0.000000000000000000e+00,-8.415106534957885742e-01,7.499292146424616501e-01,2.962682702511936217e-01
0.000000000000000000e+00,-7.071355581283569336e-01,8.768734346123129297e-01,-4.801159766417987806e-01
0.000000000000000000e+00,-4.588304758071899414e-01,8.980138001401035686e-01,-3.435682240478236116e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.335182731272172019e-01,-9.584654443513384026e-01
8.107336163520812988e-01,-9.998999834060668945e-01,9.967235206678944914e-01,-7.745919665576184165e-02
8.107336163520812988e-01,-9.998152256011962891e-01,9.960507728121549276e-01,-8.814647591889075706e-02
8.107336163520812988e-01,-9.996585249900817871e-01,9.939798945738715918e-01,-1.090183502184258191e-01
8.107336163520812988e-01,-9.993690252304077148e-01,9.885254716611473480e-01,-1.463391314874753213e-01
8.107336163520812988e-01,-9.988340735435485840e-01,9.864611227061850229e-01,-1.624617432207316470e-01
8.107336163520812988e-01,-9.978455901145935059e-01,9.976023226838970359e-01,-6.649989184319775315e-02
8.107336163520812988e-01,-9.960189461708068848e-01,9.995409608772367616e-01,-2.241883443726580202e-02
