# x,y,dx,dy
0.000000000000000000e+00,-9.998999834060668945e-01,-9.726263715768236340e-01,-4.270402424791880890e-03
0.000000000000000000e+00,-9.998152256011962891e-01,-9.751828842221624827e-01,-4.987200829512503835e-04
0.000000000000000000e+00,-9.996585249900817871e-01,-9.790997903210487685e-01,4.652337301986197646e-03
0.000000000000000000e+00,-9.993690252304077148e-01,-9.844434435705006203e-01,7.025825020351370194e-03
0.000000000000000000e+00,-9.988340735435485840e-01,-9.885187522459095710e-01,-7.627274751318802171e-02
0.000000000000000000e+00,-9.978455901145935059e-01,8.900656846997702099e-01,-4.370934859942370854e-01
0.000000000000000000e+00,-9.960189461708068848e-01,-9.233542998754066256e-01,-3.826463471183252363e-01
0.000000000000000000e+00,-9.926435947418212891e-01,-6.511829763743700594e-01,-7.588783433337644713e-01
0.000000000000000000e+00,-9.864064455032348633e-01,9.786119533717287933e-01,1.711102080207448084e-01
0.000000000000000000e+00,-9.748811125755310059e-01,8.828950243126403308e-01,-4.627571338603287954e-01
0.000000000000000000e+00,-9.535841345787048340e-01,3.532248279637748012e-01,-1.017754178025109535e-01
0.000000000000000000e+00,-9.142304062843322754e-01,-7.709494505765371875e-01,9.267277043874315445e-02
0.000000000000000000e+00,-8.415106534957885742e-01,4.626261004219468509e-01,5.452975567797589962e-01
0.000000000000000000e+00,-7.071355581283569336e-01,3.629186584447835484e-01,-9.312219795679979040e-01
0.000000000000000000e+00,-4.588304758071899414e-01,9.271756130563663101e-01,3.399523940740913908e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.196084153445165388e-01,-3.925599046307812201e-01
8.107336163520812988e-01,-9.998999834060668945e-01,-9.829099982961992943e-01,-3.147224623320755976e-02
8.107336163520812988e-01,-9.998152256011962891e-01,-9.843175655913309896e-01,-1.311173822616576619e-02
8.107336163520812988e-01,-9.996585249900817871e-01,-9.861157013939810811e-01,-3.634785075621136275e-03
8.107336163520812988e-01,-9.993690252304077148e-01,-9.887840109156202928e-01,-1.267393880897032046e-02
8.107336163520812988e-01,-9.988340735435485840e-01,-9.889841618172202642e-01,-8.638238915662356521e-02
8.107336163520812988e-01,-9.978455901145935059e-01,8.437932093096983666e-01,-5.325460317920415187e-01
8.107336163520812988e-01,-9.960189461708068848e-01,9.982621773091914230e-01,-5.798870852181506330e-02
8.107336163520812988e-01,-9.926435947418212891e-01,9.878756518021546418e-01,2.649434704942862928e-02
8.107336163520812988e-01,-9.864064455032348633e-01,1.450614961312869933e-01,-9.890440208589313942e-01
8.107336163520812988e-01,-9.748811125755310059e-01,-9.423513941735982558e-01,3.254265964118612242e-01
8.107336163520812988e-01,-9.535841345787048340e-01,-9.281899220258051919e-01,2.690644266981107591e-01
8.107336163520812988e-01,-9.142304062843322754e-01,-6.505697767708206181e-01,-7.589451980218850924e-01
8.107336163520812988e-01,-8.415106534957885742e-01,-7.970840170509125855e-01,4.392307174315105978e-01
8.107336163520812988e-01,-7.071355581283569336e-01,-7.614628405435538427e-01,4.365469297647656122e-01
8.107336163520812988e-01,-4.588304758071899414e-01,-2.328493520011244156e-01,1.682486621983821651e-01
8.107336163520812988e-01,0.000000000000000000e+00,7.219483363671046483e-01,4.522310780112338557e-01
1.621467232704162598e+00,-9.998999834060668945e-01,9.619666258359507172e-01,2.621644247155762164e-01
1.621467232704162598e+00,-9.998152256011962891e-01,9.634479339422169497e-01,2.580547127645413386e-01
