# y,epsilon,tau,grads_norm,eta,grads_norm_normed
9.999999999998898659e-05,1.552180387079715729e-02,4.013265296816825867e-02,4.737278795801103115e-04,1.416555023752152920e-03,2.908785972977057099e-05
1.847849797422806972e-04,1.530486904084682465e-02,4.041457176208496094e-02,1.596330665051937103e-03,1.421521650627255440e-03,9.825911547522991896e-05
3.414548873833522791e-04,1.494397409260272980e-02,4.089416190981864929e-02,5.325133912265300751e-03,1.429931260645389557e-03,3.291956963948905468e-04
6.309573444801541697e-04,1.438671536743640900e-02,4.165829718112945557e-02,1.741306111216545105e-02,1.443229150027036667e-03,1.082177739590406418e-03
1.165914401179857229e-03,1.359401829540729523e-02,4.277769103646278381e-02,5.495799332857131958e-02,1.462490763515233994e-03,3.412910271435976028e-03
2.154434690031847843e-03,1.237631682306528091e-02,4.452441632747650146e-02,1.629159450531005859e-01,1.492050709202885628e-03,1.001646555960178375e-02
3.981071705534966476e-03,9.878695011138916016e-03,4.855306446552276611e-02,4.346065223217010498e-01,1.558091840706765652e-03,2.684108540415763855e-02
7.356422544596452617e-03,7.039842195808887482e-03,5.372057110071182251e-02,9.905959963798522949e-01,1.638910500332713127e-03,6.244346499443054199e-02
1.359356390878529997e-02,5.742879118770360947e-03,5.638783797621726990e-02,1.865296959877014160e+00,1.679104287177324295e-03,1.242720335721969604e-01
2.511886431509580131e-02,3.774924203753471375e-03,6.824542582035064697e-02,2.755420207977294922e+00,1.847232459113001823e-03,2.403904795646667480e-01
4.641588833612775300e-02,2.037674421444535255e-03,9.313605725765228271e-02,2.972598314285278320e+00,2.157958922907710075e-03,3.683443069458007812e-01
8.576958985908933464e-02,1.037264009937644005e-03,1.305999308824539185e-01,2.556068420410156250e+00,2.555377315729856491e-03,4.267330765724182129e-01
1.584893192461114264e-01,5.328892148099839687e-04,1.813467144966125488e-01,1.973821163177490234e+00,3.011199412867426872e-03,4.488549828529357910e-01
2.928644564625237923e-01,2.715418231673538685e-04,2.529080212116241455e-01,1.447488069534301758e+00,3.556035691872239113e-03,4.576321542263031006e-01
5.411695265464637750e-01,1.183039712486788630e-04,3.814421296119689941e-01,9.623501300811767578e-01,4.367129877209663391e-03,4.616056680679321289e-01
1.000000000000000000e+00,4.316602280596271157e-05,6.311070322990417480e-01,5.951845645904541016e-01,5.617414601147174835e-03,4.715000987052917480e-01
