# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_0o125,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o0
0.000000000000000000e+00,2.362651147407596533e-02,4.557130663715228819e-02,6.976046301218845336e-02,6.041165983468366196e-02
1.224489795918367319e-01,2.583121870730977626e-02,4.823933126749010980e-02,7.207783148503671411e-02,6.457457165319854808e-02
2.448979591836734637e-01,2.787452286800667922e-02,5.073335157495374031e-02,7.430141177727267454e-02,6.856510149193394132e-02
3.673469387755101678e-01,2.976230427283991370e-02,5.305893137658408004e-02,7.643261502710202437e-02,7.238563871022389573e-02
4.897959183673469274e-01,3.150044323848272959e-02,5.522163448942197378e-02,7.847285237273048109e-02,7.603857266740245147e-02
6.122448979591836871e-01,3.309482008160834904e-02,5.722702473050828020e-02,8.042353495236370664e-02,7.952629272280364869e-02
7.346938775510203357e-01,3.455131511889004969e-02,5.908066591688386493e-02,8.228607390420739076e-02,8.285118823576154146e-02
8.571428571428570953e-01,3.587580866700106758e-02,6.078812186558960745e-02,8.406188036646726480e-02,8.601564856561014216e-02
9.795918367346938549e-01,3.707418104261462483e-02,6.235495639366635950e-02,8.575236547734899073e-02,8.902206307168356036e-02
1.102040816326530503e+00,3.815231256240398522e-02,6.378673331815497283e-02,8.735894037505825827e-02,9.187282111331578072e-02
1.224489795918367374e+00,3.911608354304240559e-02,6.508901645609632691e-02,8.888301619780077101e-02,9.457031204984085726e-02
1.346938775510204023e+00,3.997137430120310808e-02,6.626736962453129431e-02,9.032600408378223256e-02,9.711692524059283016e-02
1.469387755102040671e+00,4.072406515355934259e-02,6.732735664050068514e-02,9.168931517120831876e-02,9.951505004490576733e-02
1.591836734693877542e+00,4.138003641678436595e-02,6.827454132104544826e-02,9.297436059828473320e-02,1.017670758221137089e-01
1.714285714285714191e+00,4.194516840755140724e-02,6.911448748320640767e-02,9.418255150321715174e-02,1.038753919315506674e-01
1.836734693877551061e+00,4.242534144253372330e-02,6.985275894402438734e-02,9.531529902421129186e-02,1.058423877325507245e-01
1.959183673469387710e+00,4.282643583840455709e-02,7.049491952054029453e-02,9.637401429947282938e-02,1.076704525844478788e-01
2.081632653061224580e+00,4.315433191183715156e-02,7.104653302979499485e-02,9.736010846720746792e-02,1.093619758465762121e-01
2.204081632653061007e+00,4.341490997950474273e-02,7.151316328882934004e-02,9.827499266562088331e-02,1.109193468782697783e-01
2.326530612244897878e+00,4.361405035808058744e-02,7.190037411468416795e-02,9.912007803291877917e-02,1.123449550388625484e-01
2.448979591836734748e+00,4.375763336423793559e-02,7.221372932440039971e-02,9.989677570730683132e-02,1.136411896876886596e-01
2.571428571428571175e+00,4.385153931465003013e-02,7.245879273501885931e-02,1.006064968269907711e-01,1.148104401840820687e-01
