# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst,omegamax
9.997999999999999332e+00,2.284342867108578312e-02,9.602721887459692365e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,5.122745506132476978e-02,9.493288365968919132e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,3.276489523979014828e-02,9.551447829026124894e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,5.255175688458003924e-02,9.673975825831319583e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,3.755350093456191751e-02,9.545115213417618497e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,4.838284431788701656e-02,9.465291118944667292e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,4.011647131672428646e-02,9.769569043584586110e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01
9.997999999999999332e+00,6.732438929192088861e-02,9.558740228982485349e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,7.549704235280649267e-02,9.570711475673784191e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,7.091094964598389228e-02,9.553910565722578685e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,7.301428388705086259e-02,9.379332024184847474e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,7.563071471716217853e-02,9.467919680197549315e-03,1.000000000000000000e+00,6.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,4.639282629475113828e-02,9.393440992823451352e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,6.085530218836736338e-02,9.770037391455767620e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01
9.997999999999999332e+00,6.652520196422097298e-02,9.574720293562309983e-03,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.448877487899923211e-02,9.631618074503037197e-03,1.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.867392580078515607e-02,9.732884160668990939e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.149097289184399379e-01,9.520754124097422638e-03,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.742884621846245596e-02,9.548329677357010256e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.280287322112860948e-02,9.598589512426687273e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,9.664657731350959069e-02,9.599552177019419000e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,1.049132735482643519e-01,9.487551158132793636e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,9.537637183198358071e-02,9.568316236393212618e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.212667047813859866e-01,9.668372719631349033e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,5.844128044358872648e-02,9.611396307616969573e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.036979769733243628e-01,9.556715736387303914e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.164711443753594644e-01,9.584815931198878425e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.168660065265006154e-01,9.536001410095997638e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,5.985198121167202567e-02,9.643264518673404923e-03,1.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999999e+16
