# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,6.231662626044694869e-02,1.862844932152036073e-02
6.899999999999999467e-01,7.536424082880434361e-02,1.795976614603608107e-02
1.034000000000000030e+00,8.070164551725701740e-02,1.737532860966681247e-02
1.379999999999999893e+00,8.510524690047555074e-02,1.688791043898380320e-02
1.723999999999999977e+00,8.827870493311340550e-02,1.644992447336307562e-02
2.068000000000000060e+00,9.144160423057452747e-02,1.604812269849099568e-02
2.414000000000000146e+00,9.429533582180119056e-02,1.567728757338996901e-02
2.758000000000000007e+00,9.668826552868928226e-02,1.530072136246547060e-02
3.101999999999999869e+00,9.840160943922267311e-02,1.490617241221657042e-02
3.447999999999999954e+00,9.972467380886565480e-02,1.456021305701027738e-02
3.791999999999999815e+00,1.009090300612308921e-01,1.424533733133614803e-02
4.137999999999999901e+00,1.015743925630210875e-01,1.395016942930775439e-02
4.482000000000000206e+00,1.013868165805583421e-01,1.367430615161823425e-02
4.825999999999999623e+00,1.003528167939611027e-01,1.340210999525120669e-02
5.171999999999999709e+00,9.861969933506140040e-02,1.313487979616024572e-02
5.516000000000000014e+00,9.711559376982867309e-02,1.287184564972266958e-02
5.860000000000000320e+00,9.590450335297567852e-02,1.260811695984347114e-02
6.206000000000000405e+00,9.505120111994691534e-02,1.233981947813447659e-02
6.549999999999999822e+00,9.479681528804867474e-02,1.208752562886750495e-02
6.895999999999999908e+00,9.437625649578333664e-02,1.184245210560977077e-02
7.240000000000000213e+00,9.376241967638553054e-02,1.159604223497010672e-02
7.583999999999999631e+00,9.334118752137517128e-02,1.135509243551053801e-02
7.929999999999999716e+00,9.305141053554538688e-02,1.109567037005754035e-02
8.273999999999999133e+00,9.307566184711710267e-02,1.084195812096729571e-02
8.618000000000000327e+00,9.306392260498555502e-02,1.058394390804807614e-02
8.964000000000000412e+00,9.325999508559409956e-02,1.032675529658018919e-02
9.307999999999999829e+00,9.341625570011180546e-02,1.007899923004378084e-02
9.653999999999999915e+00,9.324510401189758935e-02,9.832452401287211999e-03
9.997999999999999332e+00,9.280287322112860948e-02,9.598589512426687273e-03
