# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,7.647872569949127827e-03,1.885431744377498442e-02
6.899999999999999467e-01,1.465164812613225717e-02,1.810603636823863646e-02
1.034000000000000030e+00,1.847999345495345697e-02,1.745132740583632894e-02
1.379999999999999893e+00,2.256396431300951300e-02,1.693889535253471912e-02
1.723999999999999977e+00,2.475429710158063082e-02,1.641718237787232609e-02
2.068000000000000060e+00,2.625551831007465545e-02,1.590728449320426979e-02
2.414000000000000146e+00,2.627860227772887275e-02,1.546314205517292269e-02
2.758000000000000007e+00,2.546406706767811653e-02,1.509172706138436904e-02
3.101999999999999869e+00,2.571875968062439788e-02,1.476393429380201162e-02
3.447999999999999954e+00,2.571373980670407094e-02,1.442610791654903163e-02
3.791999999999999815e+00,2.453751691987243050e-02,1.409641492802207394e-02
4.137999999999999901e+00,2.316690298000241913e-02,1.381837750230539667e-02
4.482000000000000206e+00,2.249238539444235394e-02,1.355557830388460540e-02
4.825999999999999623e+00,2.145230167039538505e-02,1.332099842807928439e-02
5.171999999999999709e+00,2.091988137371302361e-02,1.308270716851271664e-02
5.516000000000000014e+00,2.090025284222886068e-02,1.283412861729223836e-02
5.860000000000000320e+00,2.092065150550607988e-02,1.258347773538657198e-02
6.206000000000000405e+00,2.120586939869179011e-02,1.233085802997376836e-02
6.549999999999999822e+00,2.150578930104962011e-02,1.208615503040583010e-02
6.895999999999999908e+00,2.240191377785809290e-02,1.183334061572479702e-02
7.240000000000000213e+00,2.317399855134236880e-02,1.157190975285537875e-02
7.583999999999999631e+00,2.381900722970439407e-02,1.130840330805563815e-02
7.929999999999999716e+00,2.451788851917165862e-02,1.105245952157091378e-02
8.273999999999999133e+00,2.532932885464822537e-02,1.079240964888476817e-02
8.618000000000000327e+00,2.590225581631468849e-02,1.053685779799193312e-02
8.964000000000000412e+00,2.620882008938531932e-02,1.027673476677402366e-02
9.307999999999999829e+00,2.647731380683954888e-02,1.001886639556048668e-02
9.653999999999999915e+00,2.648080989947496078e-02,9.762514504383111580e-03
9.997999999999999332e+00,2.642024183645323016e-02,9.514035242470922360e-03
