# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_0o125,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o0
0.000000000000000000e+00,4.401886019978715897e-02,9.606241495703493616e-02,1.816060755673921667e-01,2.092435656053215354e-01
8.163265306122448328e-02,4.613664085773368922e-02,1.008095690778342962e-01,1.886010784731427248e-01,2.211890556549326869e-01
1.632653061224489666e-01,4.820140694600918291e-02,1.053213986672164870e-01,1.952566939597751572e-01,2.324353683962781247e-01
2.448979591836734637e-01,5.021253682338649993e-02,1.096030770247799213e-01,2.015799111292241874e-01,2.430010970473288068e-01
3.265306122448979331e-01,5.216940884863851408e-02,1.136597774501229563e-01,2.075777190834244001e-01,2.529048348260556911e-01
4.081632653061224025e-01,5.407140138053805750e-02,1.174966732428439214e-01,2.132571069243104633e-01,2.621651749504298468e-01
4.897959183673469274e-01,5.591789277785802481e-02,1.211189377025412572e-01,2.186250637538169617e-01,2.708007106384222040e-01
5.714285714285713969e-01,5.770826139937124816e-02,1.245317441288132931e-01,2.236885786738785908e-01,2.788300351080037487e-01
6.530612244897958663e-01,5.944188560385060827e-02,1.277402658212584141e-01,2.284546407864299356e-01,2.862717415771454665e-01
7.346938775510203357e-01,6.111814375006895811e-02,1.307496760794749913e-01,2.329302391934056637e-01,2.931444232638183989e-01
8.163265306122448051e-01,6.273641419679916453e-02,1.335651482030613402e-01,2.371223629967404156e-01,2.994666733859935315e-01
8.979591836734692745e-01,6.429607530281408745e-02,1.361918554916159152e-01,2.410380012983688036e-01,3.052570851616417946e-01
9.795918367346938549e-01,6.579650542688657289e-02,1.386349712447370597e-01,2.446841432002254402e-01,3.105342518087341741e-01
1.061224489795918213e+00,6.723708292778950157e-02,1.408996687620231170e-01,2.480677778042450210e-01,3.153167665452417112e-01
1.142857142857142794e+00,6.861718616429571260e-02,1.429911213430724581e-01,2.511958942123621585e-01,3.196232225891354473e-01
1.224489795918367152e+00,6.993619349517810058e-02,1.449145022874835098e-01,2.540754815265114375e-01,3.234722131583862570e-01
1.306122448979591733e+00,7.119348327920949071e-02,1.466749848948545876e-01,2.567135288486275813e-01,3.268823314709651817e-01
1.387755102040816313e+00,7.238843387516274985e-02,1.482777424647840903e-01,2.591170252806451191e-01,3.298721707448432072e-01
1.469387755102040671e+00,7.352042364181077261e-02,1.497279482968703890e-01,2.612929599244988021e-01,3.324603241979913193e-01
1.551020408163265252e+00,7.458883093792637031e-02,1.510307756907117993e-01,2.632483218821231596e-01,3.346653850483804482e-01
1.632653061224489610e+00,7.559303412228245145e-02,1.521913979459067479e-01,2.649901002554529428e-01,3.365059465139816908e-01
1.714285714285714191e+00,7.653241155365184123e-02,1.532149883620535780e-01,2.665252841464226807e-01,3.380006018127660883e-01
1.795918367346938549e+00,7.740634159080743426e-02,1.541067202387507162e-01,2.678608626569670692e-01,3.391679441627043490e-01
1.877551020408163129e+00,7.821420259252204188e-02,1.548717668755964783e-01,2.690038248890206929e-01,3.400265667817677917e-01
1.959183673469387710e+00,7.895537291756855869e-02,1.555153015721892074e-01,2.699611599445182475e-01,3.405950628879271802e-01
2.040816326530612290e+00,7.962923092471985154e-02,1.560424976281273857e-01,2.707398569253943177e-01,3.408920256991535558e-01
2.122448979591836427e+00,8.023515497274878727e-02,1.564585283430092733e-01,2.713469049335836547e-01,3.409360484334180152e-01
2.204081632653061007e+00,8.077252342042816335e-02,1.567685670164332967e-01,2.717892930710206767e-01,3.407457243086914889e-01
2.285714285714285587e+00,8.124071462653092990e-02,1.569777869479977717e-01,2.720740104396401349e-01,3.403396465429447959e-01
2.367346938775510168e+00,8.163910694982989824e-02,1.570913614373011247e-01,2.722080461413766694e-01,3.397364083541490887e-01
2.448979591836734304e+00,8.196707874909793523e-02,1.571144637839417268e-01,2.721983892781649761e-01,3.389546029602754640e-01
2.530612244897958885e+00,8.222400838310789384e-02,1.570522672875179215e-01,2.720520289519395840e-01,3.380128235792947411e-01
2.612244897959183465e+00,8.240927421063265479e-02,1.569099452476281353e-01,2.717759542646351889e-01,3.369296634291779613e-01
2.693877551020408045e+00,8.252225459044504330e-02,1.566926709638706006e-01,2.713771543181863199e-01,3.357237157278961659e-01
2.775510204081632626e+00,8.256232788131799560e-02,1.564056177358438549e-01,2.708626182145278394e-01,3.344135736934201741e-01
2.857142857142856762e+00,8.252887244202428141e-02,1.560539588631461860e-01,2.702393350555942209e-01,3.330178305437211383e-01
2.938775510204081343e+00,8.242126663133682307e-02,1.556428676453759652e-01,2.695142939433201046e-01,3.315550794967699888e-01
3.020408163265305923e+00,8.223888880802843193e-02,1.551775173821315357e-01,2.686944839796401308e-01,3.300439137705376558e-01
3.102040816326530503e+00,8.198111733087204422e-02,1.546630813730112686e-01,2.677868942664888841e-01,3.285029265829951806e-01
3.183673469387754640e+00,8.164733055864042965e-02,1.541047329176136182e-01,2.667985139058011157e-01,3.269507111521136600e-01
3.265306122448979220e+00,8.123690685010651058e-02,1.535076453155369280e-01,2.657363319995114104e-01,3.254058606958640798e-01
3.346938775510203801e+00,8.074922456404313997e-02,1.528769918663795135e-01,2.646073376495544638e-01,3.238869684322173148e-01
3.428571428571428381e+00,8.018366205922319856e-02,1.522179458697398013e-01,2.634185199578647496e-01,3.224126275791442953e-01
3.510204081632652962e+00,7.953959769441946992e-02,1.515356806252161626e-01,2.621768680263770745e-01,3.210014313546161180e-01
3.591836734693877098e+00,7.881640982840486254e-02,1.508353694324069127e-01,2.608893709570259678e-01,3.196719729766036577e-01
3.673469387755101678e+00,7.801347681995228489e-02,1.501221855909104508e-01,2.595630178517461251e-01,3.184428456630780668e-01
3.755102040816326259e+00,7.713017702783453444e-02,1.494013024003251755e-01,2.582047978124720755e-01,3.173326426320103866e-01
3.836734693877550839e+00,7.616588881082447804e-02,1.486778931602493747e-01,2.568216999411385704e-01,3.163599571013712142e-01
3.918367346938775420e+00,7.511999052769499641e-02,1.479571311702815306e-01,2.554207133396803053e-01,3.155433822891320905e-01
4.000000000000000000e+00,7.399186053721892864e-02,1.472441897300199587e-01,2.540088271100316986e-01,3.149015114132636128e-01
