# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,surftimeconst,omegamax
6.498000000000000220e+00,2.159800554572142463e-03,6.891982586084758472e-03,9.385568217870328498e-04,7.969863507194462418e-03,2.212279854781951972e-03,6.994767335350485053e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.250000000000000000e-01
6.498000000000000220e+00,-3.130182652743929844e-02,6.603797290632570753e-03,-7.187895735391674991e-04,8.140882230292408733e-03,7.580848514291006323e-04,6.752564336577700568e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01
6.498000000000000220e+00,-2.118413341997865337e-02,6.913964510295062156e-03,4.992158080097056604e-03,8.113863181198150906e-03,5.536743356040162850e-03,6.622366426546430311e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01
6.498000000000000220e+00,6.324621658416742023e-03,6.902855192370899000e-03,-9.095206576542315402e-03,7.965570103409877825e-03,-1.261717573798839696e-04,6.712787636037280577e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.250000000000000000e-01
6.498000000000000220e+00,-9.820784047646521214e-03,6.982968477369338491e-03,7.439581258832775107e-04,8.157215942520947352e-03,1.140940758212681885e-03,6.991697671267055672e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.250000000000000000e-01
6.498000000000000220e+00,5.842198399915636900e-03,6.697550592277920316e-03,-2.436455500385768976e-03,7.434772690200384775e-03,-3.281388473137545302e-03,6.474745338954081449e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e-01
6.498000000000000220e+00,-3.963508696814070642e-02,6.999045312576703849e-03,1.004755469561173335e-02,7.740933666977181139e-03,-1.212864257361844422e-04,6.730156794030278319e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
6.498000000000000220e+00,2.793212677556818763e-02,6.868710442668605858e-03,-6.528129263166187980e-04,7.848276510864683406e-03,-2.462215968576944580e-03,6.593765642858438053e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e-01
6.498000000000000220e+00,-7.030919822731606858e-03,6.956196023299918846e-03,2.064147996311868193e-03,7.881814518339342809e-03,-5.033036601039752103e-03,6.932447712939690358e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01
6.498000000000000220e+00,2.215258638184269824e-02,6.775257285365952897e-03,2.879892220758106455e-03,7.737549799700440233e-03,-4.025043055275090344e-04,6.499643674508368690e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e-01
6.498000000000000220e+00,1.000155138710631109e-01,6.638981725096597744e-03,-3.058152869660665275e-03,7.710655916902417993e-03,5.014839425545109669e-03,6.713749115531662988e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01
6.498000000000000220e+00,1.057595551300400949e-01,6.744973372356168929e-03,-7.602524806580236022e-03,7.498659894468961973e-03,1.314992593447162142e-02,6.489591009493754156e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
6.498000000000000220e+00,4.631861607574196127e-02,6.988149941185505323e-03,2.102752927434239048e-03,6.989701145809884206e-03,4.574865255555636556e-03,6.482939884716806822e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
6.498000000000000220e+00,-1.816012370843186549e-02,6.746109514155660021e-03,4.293742146941345074e-03,7.400866732423983310e-03,6.940135006273679547e-05,6.093855809024867516e-03,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
6.498000000000000220e+00,7.837588752406479675e-02,6.840303859491238432e-03,-6.723199194865445844e-03,7.323638255242987706e-03,6.015366335317400004e-03,6.395789283781577912e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
6.498000000000000220e+00,1.870448873978823034e-01,6.549154936799778982e-03,-7.857640839059617729e-03,7.396761019049416519e-03,2.304979276235146965e-02,6.738196442896743701e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
6.498000000000000220e+00,1.666944569920432995e-01,6.579758138046697992e-03,-1.466904805345451389e-02,7.110984752321356135e-03,9.415447569364325184e-03,6.538880829849897519e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
6.498000000000000220e+00,1.840198401091839298e-01,6.813383077753630036e-03,-1.771659096361977853e-02,7.240610717547867232e-03,2.044405571994332982e-02,6.476601037179685778e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
6.498000000000000220e+00,1.081485688149839974e-01,6.892470770841605324e-03,-1.075474083960039837e-02,7.228946832006109824e-03,1.834790577591415006e-04,6.424746873693388746e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.498000000000000220e+00,-2.319496175768600513e-04,6.981364236080703049e-03,2.113543380645805303e-04,7.235207561878139078e-03,5.191240136132899835e-03,6.309043088774872292e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
