# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst,omegamax
9.996000000000000441e+00,7.363414262189250936e-02,5.971843746962212686e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.250000000000000000e-01
9.996000000000000441e+00,4.366114228894682481e-02,5.718294755917133210e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01
9.996000000000000441e+00,6.759315698935823569e-02,5.978076848831840456e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01
9.996000000000000441e+00,8.372239882281037882e-02,6.043283628951118605e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.250000000000000000e-01
9.996000000000000441e+00,7.715444722810999023e-02,5.901312912280147829e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.250000000000000000e-01
9.996000000000000441e+00,1.525983691328093583e-01,6.119287886642866062e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,9.552995670924620264e-02,6.187690525785701466e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.467117316653223646e-01,5.941774600467198894e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.413475032591161307e-01,6.331698786135392214e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,1.574284919045743358e-01,6.060588820020047958e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,2.717780773442189379e-01,5.663952541719070519e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.532912926889505645e-01,5.841652909157713652e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.484245273304634405e-01,6.236525020400337377e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,1.808885409632602914e-01,6.107041933261454780e-03,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,2.660671937720400781e-01,5.793858661540370915e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.996000000000000441e+00,3.152164314944727597e-01,5.799993097629605604e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.426658432904411411e-01,5.569849923366454458e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.291655477620735737e-01,5.652669322038428833e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.105158482338247206e-01,5.883355553710886005e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.095584855035764194e-01,6.013694742365504990e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.151460130927370651e-01,6.101271963958002087e-03,1.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999999e+01
