# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,7.128877660778985825e-02,1.847627409416110339e-02
6.899999999999999467e-01,1.064155584805253768e-01,1.519803769694826230e-02
1.034999999999999920e+00,1.140715674064009671e-01,1.413111341708287241e-02
1.379999999999999893e+00,1.202811799422554423e-01,1.297892138427201789e-02
1.721999999999999975e+00,1.235324346916739369e-01,1.226471702644328643e-02
2.067000000000000171e+00,1.292768798001330266e-01,1.152721532868002802e-02
2.411999999999999922e+00,1.321821325501399413e-01,1.103129158496276956e-02
2.757000000000000117e+00,1.327864671886334613e-01,1.038646224963861615e-02
3.101999999999999869e+00,1.349011361117827268e-01,9.723780223504268488e-03
3.447000000000000064e+00,1.369309510534522656e-01,9.278798555252343663e-03
3.791999999999999815e+00,1.375236252410502735e-01,8.876082189074286158e-03
4.136999999999999567e+00,1.386565672588832565e-01,8.616954721624783820e-03
4.482000000000000206e+00,1.407314370328536235e-01,8.253796774541735312e-03
4.826999999999999957e+00,1.417749894392868470e-01,7.987231039820847159e-03
5.168999999999999595e+00,1.423929756269346480e-01,7.710206526659805007e-03
5.514000000000000234e+00,1.433818114968715696e-01,7.513146388723535192e-03
5.858999999999999986e+00,1.438413340120434092e-01,7.335992371807897351e-03
6.203999999999999737e+00,1.442746676476366063e-01,7.121573814770498431e-03
6.549000000000000377e+00,1.450181596784814453e-01,7.106830638938179019e-03
6.894000000000000128e+00,1.447732299769274034e-01,7.052457340406886530e-03
7.238999999999999879e+00,1.439650711963841589e-01,6.947017804801911521e-03
7.583999999999999631e+00,1.435545591201460303e-01,6.821339418859488808e-03
7.929000000000000270e+00,1.436702560172704590e-01,6.728325219515917874e-03
8.273999999999999133e+00,1.437579841125060653e-01,6.709105305319915113e-03
8.615999999999999659e+00,1.431937861110506860e-01,6.700042029344644573e-03
8.961000000000000298e+00,1.428048361476118577e-01,6.644566336046687192e-03
9.305999999999999162e+00,1.427841090635409982e-01,6.530740929693736214e-03
9.650999999999999801e+00,1.421482240951391085e-01,6.397044760810672442e-03
9.996000000000000441e+00,1.413475032591161307e-01,6.331698786135392214e-03
