# duxdy*kolmogorov_time,p_y
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,2.139449999999999963e-01
-1.562500000000000000e+00,nan
-1.437500000000000000e+00,-8.202690000000000259e-01
-1.312500000000000000e+00,4.783314285714284492e-02
-1.187500000000000000e+00,5.631879999999998831e-02
-1.062500000000000000e+00,1.799755555555557218e-02
-9.375000000000000000e-01,-6.663116666666667187e-02
-8.125000000000000000e-01,-1.365714545454545514e-01
-6.875000000000000000e-01,-1.446842700000000315e-01
-5.625000000000000000e-01,-1.712937142857142991e-01
-4.375000000000000000e-01,-1.764538310249307296e-01
-3.125000000000000000e-01,-1.828032823920265060e-01
-1.875000000000000000e-01,-1.136625291262136905e-01
-6.250000000000000000e-02,-2.907066456361726350e-02
6.250000000000000000e-02,3.278177613516363581e-02
1.875000000000000000e-01,1.028266840659340930e-01
3.125000000000000000e-01,1.258984538745387127e-01
4.375000000000000000e-01,1.472591615853658109e-01
5.625000000000000000e-01,2.232012568306009637e-01
6.875000000000000000e-01,1.819618849557522178e-01
8.125000000000000000e-01,1.553144305555554938e-01
9.375000000000000000e-01,5.250876666666667858e-02
1.062500000000000000e+00,-6.802723076923077039e-02
1.187500000000000000e+00,1.827366666666667069e-02
1.312500000000000000e+00,-2.538170000000000148e-01
1.437500000000000000e+00,-1.733929999999999916e-01
1.562500000000000000e+00,nan
1.687500000000000000e+00,nan
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
