# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,2.440846148514088654e-01
-3.812500000000000000e+00,2.515627752352848079e-01
-3.687500000000000000e+00,2.594941781923755797e-01
-3.562500000000000000e+00,2.679190729114404590e-01
-3.437500000000000000e+00,2.768822478721005287e-01
-3.312500000000000000e+00,2.864336057036028227e-01
-3.187500000000000000e+00,2.966288027256481774e-01
-3.062500000000000000e+00,3.075299517663119819e-01
-2.937500000000000000e+00,3.192063804467696331e-01
-2.812500000000000000e+00,3.317354265247128842e-01
-2.687500000000000000e+00,3.452032349441671588e-01
-2.562500000000000000e+00,3.597054948981327493e-01
-2.437500000000000000e+00,3.753480153100523520e-01
-2.312500000000000000e+00,3.922469782716601627e-01
-2.187500000000000000e+00,4.105286255138256291e-01
-2.062500000000000000e+00,4.303280174044587514e-01
-1.937500000000000000e+00,4.517863461495794652e-01
-1.812500000000000000e+00,4.750460734351048542e-01
-1.687500000000000000e+00,5.002429139482216236e-01
-1.562500000000000000e+00,5.274932469438496918e-01
-1.437500000000000000e+00,5.568753283526535203e-01
-1.312500000000000000e+00,5.884019452513825632e-01
-1.187500000000000000e+00,6.219826145136075901e-01
-1.062500000000000000e+00,6.573742718765923643e-01
-9.375000000000000000e-01,6.941220830326070290e-01
-8.125000000000000000e-01,7.314962743606744366e-01
-6.875000000000000000e-01,7.684377892631242268e-01
-5.625000000000000000e-01,8.035336995733107779e-01
-4.375000000000000000e-01,8.350479034087984198e-01
-3.125000000000000000e-01,8.610384147054163106e-01
-1.875000000000000000e-01,8.795864770134895760e-01
-6.250000000000000000e-02,8.891264328686794283e-01
6.250000000000000000e-02,8.887857809237547091e-01
1.875000000000000000e-01,8.785972872425723557e-01
3.125000000000000000e-01,8.594840580779525840e-01
4.375000000000000000e-01,8.330361614361079248e-01
5.625000000000000000e-01,8.011748895894631461e-01
6.875000000000000000e-01,7.658386816838190780e-01
8.125000000000000000e-01,7.287574435278467710e-01
9.375000000000000000e-01,6.913320671652465332e-01
1.062500000000000000e+00,6.546045215618361279e-01
1.187500000000000000e+00,6.192860536831795715e-01
1.312500000000000000e+00,5.858142353027827598e-01
1.437500000000000000e+00,5.544181961746065257e-01
1.562500000000000000e+00,5.251784800302338185e-01
1.687500000000000000e+00,4.980753477716869937e-01
1.812500000000000000e+00,4.730254869373979876e-01
1.937500000000000000e+00,4.499088364653041627e-01
2.062500000000000000e+00,4.285871421717029062e-01
2.187500000000000000e+00,4.089163076927074814e-01
2.312500000000000000e+00,3.907542593123494723e-01
2.437500000000000000e+00,3.739656394808856255e-01
2.562500000000000000e+00,3.584243292642652068e-01
2.687500000000000000e+00,3.440145441615618527e-01
2.812500000000000000e+00,3.306310328094632101e-01
2.937500000000000000e+00,3.181787406630688930e-01
3.062500000000000000e+00,3.065721785912414177e-01
3.187500000000000000e+00,2.957346505176888796e-01
3.312500000000000000e+00,2.855974358043386063e-01
3.437500000000000000e+00,2.760989833109915303e-01
3.562500000000000000e+00,2.671841489536366798e-01
3.687500000000000000e+00,2.588034926950071868e-01
3.812500000000000000e+00,2.509126411131016310e-01
3.937500000000000000e+00,2.434717158700664408e-01
