# omega_z*kolmogorov_time,angle_z
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,nan
-1.562500000000000000e+00,1.528715905362268979e+00
-1.437500000000000000e+00,1.718214548146952181e+00
-1.312500000000000000e+00,-4.360859723957460354e-01
-1.187500000000000000e+00,2.936051035918928465e-01
-1.062500000000000000e+00,4.735140610258887217e-01
-9.375000000000000000e-01,3.393144961444474750e-01
-8.125000000000000000e-01,1.252841677137071508e-01
-6.875000000000000000e-01,-1.383706494033527801e-01
-5.625000000000000000e-01,8.959502290853076090e-02
-4.375000000000000000e-01,-1.168278813543452074e-02
-3.125000000000000000e-01,1.818580179044655687e-01
-1.875000000000000000e-01,1.787197063576181910e-02
-6.250000000000000000e-02,8.761302239924058377e-02
6.250000000000000000e-02,-4.776576303375622279e-02
1.875000000000000000e-01,-6.672379668363995209e-02
3.125000000000000000e-01,-2.015400478624410352e-01
4.375000000000000000e-01,-2.473985519812953171e-01
5.625000000000000000e-01,-2.292111377303497899e-01
6.875000000000000000e-01,-4.358658970731600912e-01
8.125000000000000000e-01,-4.512595926887703057e-01
9.375000000000000000e-01,-5.561953453223861255e-01
1.062500000000000000e+00,-1.633692927258592054e+00
1.187500000000000000e+00,-1.001768742576287563e+00
1.312500000000000000e+00,nan
1.437500000000000000e+00,1.571227422645732563e+00
1.562500000000000000e+00,-2.836705012356501854e+00
1.687500000000000000e+00,-2.304782623446559153e+00
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
