# omega_z*kolmogorov_time,p_x
-1.937500000000000000e+00,-7.115594202898548916e-03
-1.812500000000000000e+00,7.287808955223885887e-02
-1.687500000000000000e+00,1.487000175953079595e-01
-1.562500000000000000e+00,1.577846211849193714e-01
-1.437500000000000000e+00,1.375322561117577613e-01
-1.312500000000000000e+00,1.814225178571428898e-01
-1.187500000000000000e+00,2.330094094781684499e-01
-1.062500000000000000e+00,2.606452152578799808e-01
-9.375000000000000000e-01,3.042334667326234143e-01
-8.125000000000000000e-01,3.392895551297679391e-01
-6.875000000000000000e-01,3.653100472601857884e-01
-5.625000000000000000e-01,4.029508149285233043e-01
-4.375000000000000000e-01,4.228799252652616358e-01
-3.125000000000000000e-01,4.493059996768543618e-01
-1.875000000000000000e-01,4.616395516746956140e-01
-6.250000000000000000e-02,4.792303187355760885e-01
6.250000000000000000e-02,4.870149440185703171e-01
1.875000000000000000e-01,4.691239164081348334e-01
3.125000000000000000e-01,4.516838688726286244e-01
4.375000000000000000e-01,4.381566863220455188e-01
5.625000000000000000e-01,4.088660054495927287e-01
6.875000000000000000e-01,3.884579365662205186e-01
8.125000000000000000e-01,3.403671543178328762e-01
9.375000000000000000e-01,3.179325082006757563e-01
1.062500000000000000e+00,2.930297398981331347e-01
1.187500000000000000e+00,2.570763900563814430e-01
1.312500000000000000e+00,2.232165332278480407e-01
1.437500000000000000e+00,2.185670186104214652e-01
1.562500000000000000e+00,1.337042258652095528e-01
1.687500000000000000e+00,8.468290395480219945e-02
1.812500000000000000e+00,1.153184008264462185e-01
1.937500000000000000e+00,4.490949700598798749e-02
