# omega_z*kolmogorov_time,angle_z
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,7.622124935624181585e-01
-2.562500000000000000e+00,9.877752246950220749e-02
-2.437500000000000000e+00,1.365329622391648012e+00
-2.312500000000000000e+00,1.238679524958061995e+00
-2.187500000000000000e+00,6.898672699216364945e-01
-2.062500000000000000e+00,1.016444426792880718e+00
-1.937500000000000000e+00,9.159646504521872235e-01
-1.812500000000000000e+00,8.639416478436282576e-01
-1.687500000000000000e+00,8.455589037377839734e-01
-1.562500000000000000e+00,7.973215227715959585e-01
-1.437500000000000000e+00,8.200879065721951022e-01
-1.312500000000000000e+00,8.112068257097644342e-01
-1.187500000000000000e+00,7.070618798830409224e-01
-1.062500000000000000e+00,6.532915947854074368e-01
-9.375000000000000000e-01,5.697229420609641881e-01
-8.125000000000000000e-01,5.113381384255851758e-01
-6.875000000000000000e-01,4.478172608223821016e-01
-5.625000000000000000e-01,3.772822019845307739e-01
-4.375000000000000000e-01,3.062151409469906493e-01
-3.125000000000000000e-01,2.288371934143499653e-01
-1.875000000000000000e-01,1.404240247453643342e-01
-6.250000000000000000e-02,5.191733512432381709e-02
6.250000000000000000e-02,-3.637838012323650616e-02
1.875000000000000000e-01,-1.267545667119448494e-01
3.125000000000000000e-01,-2.131403485352792448e-01
4.375000000000000000e-01,-2.997069007901001503e-01
5.625000000000000000e-01,-3.871620553431075473e-01
6.875000000000000000e-01,-4.706293134728344874e-01
8.125000000000000000e-01,-5.604474731725966885e-01
9.375000000000000000e-01,-6.435885975909273471e-01
1.062500000000000000e+00,-7.314341063834652878e-01
1.187500000000000000e+00,-8.133172893870138642e-01
1.312500000000000000e+00,-8.625734881274671473e-01
1.437500000000000000e+00,-9.077435578445709474e-01
1.562500000000000000e+00,-8.997150724775829778e-01
1.687500000000000000e+00,-9.228071669227284612e-01
1.812500000000000000e+00,-7.932861578348744391e-01
1.937500000000000000e+00,-8.040605598231074236e-01
2.062500000000000000e+00,-8.255144357476597028e-01
2.187500000000000000e+00,-1.008123735806375043e+00
2.312500000000000000e+00,-1.207317209764604771e+00
2.437500000000000000e+00,-1.359828654269733983e+00
2.562500000000000000e+00,-1.227600275362452198e+00
2.687500000000000000e+00,-1.463250289659048464e+00
2.812500000000000000e+00,-9.243858343599836713e-01
2.937500000000000000e+00,nan
3.062500000000000000e+00,-2.613291862955059996e-01
3.187500000000000000e+00,nan
3.312500000000000000e+00,-3.230142575406196870e-01
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
