# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,1.506398274381391955e+00
-3.812500000000000000e+00,1.504265933004694134e+00
-3.687500000000000000e+00,1.501986862440425785e+00
-3.562500000000000000e+00,1.499545300345940246e+00
-3.437500000000000000e+00,1.496923130779718392e+00
-3.312500000000000000e+00,1.494099425551060456e+00
-3.187500000000000000e+00,1.491049873474543874e+00
-3.062500000000000000e+00,1.487746064133920854e+00
-2.937500000000000000e+00,1.484154580922946387e+00
-2.812500000000000000e+00,1.480235841437977040e+00
-2.687500000000000000e+00,1.475942599550284173e+00
-2.562500000000000000e+00,1.471217989513996738e+00
-2.437500000000000000e+00,1.465992943926247793e+00
-2.312500000000000000e+00,1.460182749103377198e+00
-2.187500000000000000e+00,1.453682409843101375e+00
-2.062500000000000000e+00,1.446360390325559298e+00
-1.937500000000000000e+00,1.438050178375536392e+00
-1.812500000000000000e+00,1.428538182580719518e+00
-1.687500000000000000e+00,1.417546980824194724e+00
-1.562500000000000000e+00,1.404712290344974468e+00
-1.437500000000000000e+00,1.389550547460156160e+00
-1.312500000000000000e+00,1.371405473844997669e+00
-1.187500000000000000e+00,1.349366498551777926e+00
-1.062500000000000000e+00,1.322140631118172482e+00
-9.375000000000000000e-01,1.287882498389333552e+00
-8.125000000000000000e-01,1.243851866555018448e+00
-6.875000000000000000e-01,1.185775063455156708e+00
-5.625000000000000000e-01,1.106629638931238224e+00
-4.375000000000000000e-01,9.942274188772916022e-01
-3.125000000000000000e-01,8.271863672067527595e-01
-1.875000000000000000e-01,5.718907255442028381e-01
-6.250000000000000000e-02,2.014772404220903645e-01
6.250000000000000000e-02,-2.299088320109878014e-01
1.875000000000000000e-01,-5.931946537837395894e-01
3.125000000000000000e-01,-8.414697169325950910e-01
4.375000000000000000e-01,-1.004050672084613627e+00
5.625000000000000000e-01,-1.113854809530252288e+00
6.875000000000000000e-01,-1.191355498254609513e+00
8.125000000000000000e-01,-1.248264549888907782e+00
9.375000000000000000e-01,-1.291408939662095801e+00
1.062500000000000000e+00,-1.324973104098660093e+00
1.187500000000000000e+00,-1.351657133390866683e+00
1.312500000000000000e+00,-1.373275677998278432e+00
1.437500000000000000e+00,-1.391089161401728669e+00
1.562500000000000000e+00,-1.405985983265947370e+00
1.687500000000000000e+00,-1.418610892938568124e+00
1.812500000000000000e+00,-1.429437886218366316e+00
1.937500000000000000e+00,-1.438821409849948774e+00
2.062500000000000000e+00,-1.447029690875085262e+00
2.187500000000000000e+00,-1.454270066239675030e+00
2.312500000000000000e+00,-1.460704103343261062e+00
2.437500000000000000e+00,-1.466459404923393883e+00
2.562500000000000000e+00,-1.471638098611332435e+00
2.687500000000000000e+00,-1.476323049465514403e+00
2.812500000000000000e+00,-1.480582036443660376e+00
2.937500000000000000e+00,-1.484470965644621332e+00
3.062500000000000000e+00,-1.488036339721032775e+00
3.187500000000000000e+00,-1.491317151082149239e+00
3.312500000000000000e+00,-1.494346340735541290e+00
3.437500000000000000e+00,-1.497151931342926456e+00
3.562500000000000000e+00,-1.499757915096572081e+00
3.687500000000000000e+00,-1.502184955744627848e+00
3.812500000000000000e+00,-1.504450948509506114e+00
3.937500000000000000e+00,-1.506571470358933018e+00
