# omega_z*kolmogorov_time,p_y
-1.937500000000000000e+00,-6.420666666666648321e-03
-1.812500000000000000e+00,1.647092222222222291e-01
-1.687500000000000000e+00,-4.589631818181818534e-01
-1.562500000000000000e+00,-4.468914285714283008e-02
-1.437500000000000000e+00,-2.007701363636363590e-01
-1.312500000000000000e+00,-2.553990303030303499e-01
-1.187500000000000000e+00,-3.915020408163265991e-02
-1.062500000000000000e+00,-1.546609750000000338e-01
-9.375000000000000000e-01,-1.046337570093457958e-01
-8.125000000000000000e-01,-1.337063160377359172e-01
-6.875000000000000000e-01,-4.422624302788843303e-02
-5.625000000000000000e-01,-8.386546760563381997e-02
-4.375000000000000000e-01,-3.154977906976742796e-02
-3.125000000000000000e-01,-5.580725152129813182e-02
-1.875000000000000000e-01,-3.467761509433960054e-02
-6.250000000000000000e-02,-2.477320257826888875e-02
6.250000000000000000e-02,1.062910896309313645e-02
1.875000000000000000e-01,3.185395969289826767e-02
3.125000000000000000e-01,4.740466749379652206e-02
4.375000000000000000e-01,9.196917995444198191e-02
5.625000000000000000e-01,1.052101754385965319e-03
6.875000000000000000e-01,6.475487351778652645e-02
8.125000000000000000e-01,4.500781325301203561e-02
9.375000000000000000e-01,8.714560305343510560e-02
1.062500000000000000e+00,1.426438250000000019e-01
1.187500000000000000e+00,-4.074285999999999880e-02
1.312500000000000000e+00,9.105641176470588571e-02
1.437500000000000000e+00,1.455101363636363831e-01
1.562500000000000000e+00,9.749088888888887694e-02
1.687500000000000000e+00,3.658446666666665958e-01
1.812500000000000000e+00,-1.358222500000000055e-01
1.937500000000000000e+00,1.051813333333333073e-01
