# duxdy*kolmogorov_time,p_x
-1.937500000000000000e+00,-3.869960000000000067e-01
-1.812500000000000000e+00,7.916849999999998888e-02
-1.687500000000000000e+00,-3.351925000000000737e-02
-1.562500000000000000e+00,-7.599594736842106568e-02
-1.437500000000000000e+00,-6.042780555555556793e-02
-1.312500000000000000e+00,4.070368749999999508e-02
-1.187500000000000000e+00,-8.755697674418586735e-03
-1.062500000000000000e+00,1.003476915887850374e-01
-9.375000000000000000e-01,1.320421529051986897e-01
-8.125000000000000000e-01,1.934042957110609084e-01
-6.875000000000000000e-01,2.431527834022040591e-01
-5.625000000000000000e-01,3.150910509518479174e-01
-4.375000000000000000e-01,4.009489488023017523e-01
-3.125000000000000000e-01,5.026959314471576290e-01
-1.875000000000000000e-01,5.816774023633302093e-01
-6.250000000000000000e-02,6.610230448588388930e-01
6.250000000000000000e-02,6.651996329165824617e-01
1.875000000000000000e-01,5.961460985862073736e-01
3.125000000000000000e-01,4.918231020787329766e-01
4.375000000000000000e-01,4.023217481660468775e-01
5.625000000000000000e-01,3.243414372611458929e-01
6.875000000000000000e-01,2.612017437218291938e-01
8.125000000000000000e-01,2.318998541666666691e-01
9.375000000000000000e-01,1.837395567282321118e-01
1.062500000000000000e+00,1.774995295774648429e-01
1.187500000000000000e+00,2.645021893491122933e-01
1.312500000000000000e+00,2.951938374999998893e-01
1.437500000000000000e+00,2.599045526315789112e-01
1.562500000000000000e+00,2.995383478260870147e-01
1.687500000000000000e+00,5.234254999999999880e-01
1.812500000000000000e+00,6.200152500000000177e-01
1.937500000000000000e+00,9.622395000000000254e-01
