# omega_z*kolmogorov_time,p_x
-3.937500000000000000e+00,9.927657392363036237e-01
-3.812500000000000000e+00,9.922795662902458291e-01
-3.687500000000000000e+00,9.917425058973716734e-01
-3.562500000000000000e+00,9.911471648388697764e-01
-3.437500000000000000e+00,9.904847474386196948e-01
-3.312500000000000000e+00,9.897447206181424484e-01
-3.187500000000000000e+00,9.889143804535664994e-01
-3.062500000000000000e+00,9.879782850188402188e-01
-2.937500000000000000e+00,9.869175030776828894e-01
-2.812500000000000000e+00,9.857086050188144100e-01
-2.687500000000000000e+00,9.843222863119478472e-01
-2.562500000000000000e+00,9.827214559377166481e-01
-2.437500000000000000e+00,9.808585269644750637e-01
-2.312500000000000000e+00,9.786714843380148743e-01
-2.187500000000000000e+00,9.760780249828925337e-01
-2.062500000000000000e+00,9.729674204793193892e-01
-1.937500000000000000e+00,9.691900542146276720e-01
-1.812500000000000000e+00,9.645423695223587224e-01
-1.687500000000000000e+00,9.587336098894995162e-01
-1.562500000000000000e+00,9.513565160896717554e-01
-1.437500000000000000e+00,9.418414812074463738e-01
-1.312500000000000000e+00,9.293632773935822655e-01
-1.187500000000000000e+00,9.126850670282656841e-01
-1.062500000000000000e+00,8.900424198337214543e-01
-9.375000000000000000e-01,8.589689936170548101e-01
-8.125000000000000000e-01,8.161491247145840067e-01
-6.875000000000000000e-01,7.574595784789130981e-01
-5.625000000000000000e-01,6.781836010604644915e-01
-4.375000000000000000e-01,5.732911706515143591e-01
-3.125000000000000000e-01,4.387256450060747492e-01
-1.875000000000000000e-01,2.745266614786794346e-01
-6.250000000000000000e-02,8.815837636415045642e-02
6.250000000000000000e-02,-1.058463605148675241e-01
1.875000000000000000e-01,-2.905995684565159110e-01
3.125000000000000000e-01,-4.523766328905242662e-01
4.375000000000000000e-01,-5.847514610694661830e-01
5.625000000000000000e-01,-6.879549509370870286e-01
6.875000000000000000e-01,-7.654653410515248613e-01
8.125000000000000000e-01,-8.221548452756063385e-01
9.375000000000000000e-01,-8.631669758537446890e-01
1.062500000000000000e+00,-8.928852648163252415e-01
1.187500000000000000e+00,-9.145821539656177057e-01
1.312500000000000000e+00,-9.306731309057699741e-01
1.437500000000000000e+00,-9.428055413486293723e-01
1.562500000000000000e+00,-9.520871734356229910e-01
1.687500000000000000e+00,-9.593025069248498626e-01
1.812500000000000000e+00,-9.649999500031731792e-01
1.937500000000000000e+00,-9.695685185763657232e-01
2.062500000000000000e+00,-9.732840693866197102e-01
2.187500000000000000e+00,-9.763448030522946519e-01
2.312500000000000000e+00,-9.788978991424763798e-01
2.437500000000000000e+00,-9.810520897955453679e-01
2.562500000000000000e+00,-9.828880961167478780e-01
2.687500000000000000e+00,-9.844667003903304625e-01
2.812500000000000000e+00,-9.858345341830337949e-01
2.937500000000000000e+00,-9.870279477415583314e-01
3.062500000000000000e+00,-9.880756689602238074e-01
3.187500000000000000e+00,-9.890006759925613622e-01
3.312500000000000000e+00,-9.898215442530863273e-01
3.437500000000000000e+00,-9.905534332339868131e-01
3.562500000000000000e+00,-9.912088210702599822e-01
3.687500000000000000e+00,-9.917980590614403624e-01
3.812500000000000000e+00,-9.923297955339996923e-01
3.937500000000000000e+00,-9.928113034790295721e-01
