# omega_z*kolmogorov_time,p_x
-1.937500000000000000e+00,-6.458333333333332593e-01
-1.812500000000000000e+00,-6.041666666666666297e-01
-1.687500000000000000e+00,-5.625000000000000000e-01
-1.562500000000000000e+00,-5.208333333333332593e-01
-1.437500000000000000e+00,-4.791666666666666297e-01
-1.312500000000000000e+00,-4.375000000000000000e-01
-1.187500000000000000e+00,-3.958333333333333148e-01
-1.062500000000000000e+00,-3.541666666666666297e-01
-9.375000000000000000e-01,-3.125000000000000000e-01
-8.125000000000000000e-01,-2.708333333333333148e-01
-6.875000000000000000e-01,-2.291666666666666574e-01
-5.625000000000000000e-01,-1.875000000000000000e-01
-4.375000000000000000e-01,-1.458333333333333148e-01
-3.125000000000000000e-01,-1.041666666666666574e-01
-1.875000000000000000e-01,-6.250000000000000000e-02
-6.250000000000000000e-02,-2.083333333333333218e-02
6.250000000000000000e-02,2.083333333333333218e-02
1.875000000000000000e-01,6.250000000000000000e-02
3.125000000000000000e-01,1.041666666666666574e-01
4.375000000000000000e-01,1.458333333333333148e-01
5.625000000000000000e-01,1.875000000000000000e-01
6.875000000000000000e-01,2.291666666666666574e-01
8.125000000000000000e-01,2.708333333333333148e-01
9.375000000000000000e-01,3.125000000000000000e-01
1.062500000000000000e+00,3.541666666666666297e-01
1.187500000000000000e+00,3.958333333333333148e-01
1.312500000000000000e+00,4.375000000000000000e-01
1.437500000000000000e+00,4.791666666666666297e-01
1.562500000000000000e+00,5.208333333333332593e-01
1.687500000000000000e+00,5.625000000000000000e-01
1.812500000000000000e+00,6.041666666666666297e-01
1.937500000000000000e+00,6.458333333333332593e-01
