# omega_z*kolmogorov_time,angle_z
-1.937500000000000000e+00,1.816111814816634418e+00
-1.812500000000000000e+00,1.639699401327824324e+00
-1.687500000000000000e+00,9.488015160540456128e-01
-1.562500000000000000e+00,1.035345091058385014e+00
-1.437500000000000000e+00,1.042889818951378222e+00
-1.312500000000000000e+00,1.016717060740931045e+00
-1.187500000000000000e+00,9.018614796568839020e-01
-1.062500000000000000e+00,8.418139478140235221e-01
-9.375000000000000000e-01,7.256075385419964441e-01
-8.125000000000000000e-01,6.839320590960292767e-01
-6.875000000000000000e-01,5.625882863695450542e-01
-5.625000000000000000e-01,4.684086748752846474e-01
-4.375000000000000000e-01,3.770140031470656239e-01
-3.125000000000000000e-01,2.730974195002052740e-01
-1.875000000000000000e-01,1.685136491680157556e-01
-6.250000000000000000e-02,6.238388957332538509e-02
6.250000000000000000e-02,-5.867179017307252303e-02
1.875000000000000000e-01,-1.648049842082498218e-01
3.125000000000000000e-01,-2.812857874803239011e-01
4.375000000000000000e-01,-3.955564777596226600e-01
5.625000000000000000e-01,-4.827838703430394895e-01
6.875000000000000000e-01,-5.753235726628389557e-01
8.125000000000000000e-01,-6.543111266274651561e-01
9.375000000000000000e-01,-7.524382545171287573e-01
1.062500000000000000e+00,-8.617022998524649369e-01
1.187500000000000000e+00,-9.199900324294246756e-01
1.312500000000000000e+00,-9.707631640346989776e-01
1.437500000000000000e+00,-9.812227349359088358e-01
1.562500000000000000e+00,-9.035062165594165418e-01
1.687500000000000000e+00,-1.097948080431670581e+00
1.812500000000000000e+00,-9.532649319207077143e-01
1.937500000000000000e+00,-1.967635409481908848e+00
