# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,6.368341542119565490e-02,1.856135096811889484e-02
6.899999999999999467e-01,6.666346665534420013e-02,1.517485588307778202e-02
1.034999999999999920e+00,6.260456767059179028e-02,1.402397277903031855e-02
1.379999999999999893e+00,6.190635048686594227e-02,1.266510585822992578e-02
1.721999999999999975e+00,6.431390076038037695e-02,1.162471116084448294e-02
2.067000000000000171e+00,6.718845435716012948e-02,1.091533737897367080e-02
2.411999999999999922e+00,6.704020506192993889e-02,1.036590857487843138e-02
2.757000000000000117e+00,6.664216157168116605e-02,9.790505478993013350e-03
3.101999999999999869e+00,6.809569336567133924e-02,9.277399503530533650e-03
3.447000000000000064e+00,6.792973679558311773e-02,8.871215848473817250e-03
3.791999999999999815e+00,6.850353952399788893e-02,8.442566088942829103e-03
4.136999999999999567e+00,6.840817550648115031e-02,8.132761069449403329e-03
4.482000000000000206e+00,6.756998000683288319e-02,7.818176196628350352e-03
4.826999999999999957e+00,6.753722550238243361e-02,7.602534133721160214e-03
5.168999999999999595e+00,6.632975959445734648e-02,7.357980248961147780e-03
5.514000000000000234e+00,6.620427618901886246e-02,7.119648037146271424e-03
5.858999999999999986e+00,6.562898642179765263e-02,6.972967184673395553e-03
6.203999999999999737e+00,6.569432806707367623e-02,6.797053068795269777e-03
6.549000000000000377e+00,6.571034014019315472e-02,6.711784309555540208e-03
6.894000000000000128e+00,6.532229494737271103e-02,6.635647034854775909e-03
7.238999999999999879e+00,6.396034392699267990e-02,6.556487980978161281e-03
7.583999999999999631e+00,6.327227422657899503e-02,6.472393338980558797e-03
7.929000000000000270e+00,6.288114499089575427e-02,6.402607024954075528e-03
8.273999999999999133e+00,6.137459162361010717e-02,6.344402119591201379e-03
8.615999999999999659e+00,6.042930825462801414e-02,6.307871502143912006e-03
8.961000000000000298e+00,5.966400953611482316e-02,6.272487628830827888e-03
9.305999999999999162e+00,5.948621342665350725e-02,6.175904825139792720e-03
9.650999999999999801e+00,5.888459482016112495e-02,6.104154596589111102e-03
9.996000000000000441e+00,5.805618731867746157e-02,6.088734867486675535e-03
