# duxdy*kolmogorov_time,p_x
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,3.923849999999999838e-01
-1.687500000000000000e+00,2.377360000000000029e-01
-1.562500000000000000e+00,-9.139899999999999691e-01
-1.437500000000000000e+00,-3.085744999999999738e-01
-1.312500000000000000e+00,-2.127285000000000148e-01
-1.187500000000000000e+00,2.138162857142857087e-01
-1.062500000000000000e+00,2.743537500000000073e-01
-9.375000000000000000e-01,1.621180588235294484e-01
-8.125000000000000000e-01,3.527757096774192802e-01
-6.875000000000000000e-01,4.044326597938142087e-01
-5.625000000000000000e-01,4.021313749999999576e-01
-4.375000000000000000e-01,4.636987183462529249e-01
-3.125000000000000000e-01,4.579990101351352760e-01
-1.875000000000000000e-01,5.143986361445778144e-01
-6.250000000000000000e-02,5.091819653679654500e-01
6.250000000000000000e-02,5.108947110187112006e-01
1.875000000000000000e-01,4.877696487213993293e-01
3.125000000000000000e-01,4.734901023766003303e-01
4.375000000000000000e-01,4.524305653495441226e-01
5.625000000000000000e-01,3.353541931818179722e-01
6.875000000000000000e-01,2.726426637168142264e-01
8.125000000000000000e-01,2.725281186440677295e-01
9.375000000000000000e-01,2.336488974358974235e-01
1.062500000000000000e+00,3.194656875000000396e-01
1.187500000000000000e+00,6.032760000000000344e-01
1.312500000000000000e+00,7.371389999999999887e-01
1.437500000000000000e+00,6.820169999999999844e-01
1.562500000000000000e+00,nan
1.687500000000000000e+00,3.197079999999999922e-01
1.812500000000000000e+00,3.096690000000000276e-01
1.937500000000000000e+00,7.540909999999999558e-01
