# omega_z*kolmogorov_time,p_x
-1.937500000000000000e+00,-6.468613609467460668e-02
-1.812500000000000000e+00,2.989406049822067313e-02
-1.687500000000000000e+00,6.837081999999999882e-02
-1.562500000000000000e+00,8.735631165311655288e-02
-1.437500000000000000e+00,9.276158629441623449e-02
-1.312500000000000000e+00,1.437049349638689077e-01
-1.187500000000000000e+00,1.908924349742833204e-01
-1.062500000000000000e+00,2.395630224586293711e-01
-9.375000000000000000e-01,2.588391419409288297e-01
-8.125000000000000000e-01,2.966181588028174443e-01
-6.875000000000000000e-01,3.385841851008171144e-01
-5.625000000000000000e-01,3.765926925654330404e-01
-4.375000000000000000e-01,4.123037655793829748e-01
-3.125000000000000000e-01,4.263824042156970084e-01
-1.875000000000000000e-01,4.486917130881842297e-01
-6.250000000000000000e-02,4.588394535521057582e-01
6.250000000000000000e-02,4.580323792592063681e-01
1.875000000000000000e-01,4.521645565938957056e-01
3.125000000000000000e-01,4.373538807255866745e-01
4.375000000000000000e-01,4.206282430690559959e-01
5.625000000000000000e-01,3.912497234810125013e-01
6.875000000000000000e-01,3.538094890300719220e-01
8.125000000000000000e-01,3.198295350016906458e-01
9.375000000000000000e-01,2.661985377060099855e-01
1.062500000000000000e+00,2.323644854771785562e-01
1.187500000000000000e+00,1.897043755129959319e-01
1.312500000000000000e+00,1.487627271349164504e-01
1.437500000000000000e+00,9.783984685367717871e-02
1.562500000000000000e+00,3.501479904306221275e-02
1.687500000000000000e+00,4.453737598425193400e-02
1.812500000000000000e+00,-1.169858842443731103e-02
1.937500000000000000e+00,-6.679223655913975322e-02
