# duxdy*kolmogorov_time,p_y
-3.937500000000000000e+00,nan
-3.812500000000000000e+00,nan
-3.687500000000000000e+00,nan
-3.562500000000000000e+00,nan
-3.437500000000000000e+00,nan
-3.312500000000000000e+00,nan
-3.187500000000000000e+00,nan
-3.062500000000000000e+00,nan
-2.937500000000000000e+00,nan
-2.812500000000000000e+00,nan
-2.687500000000000000e+00,nan
-2.562500000000000000e+00,nan
-2.437500000000000000e+00,nan
-2.312500000000000000e+00,nan
-2.187500000000000000e+00,9.893990000000000284e-01
-2.062500000000000000e+00,2.853459999999999885e-01
-1.937500000000000000e+00,1.904300000000001131e-02
-1.812500000000000000e+00,3.385437692307692314e-01
-1.687500000000000000e+00,2.195594166666666458e-01
-1.562500000000000000e+00,1.426732608695651661e-01
-1.437500000000000000e+00,2.587339882352940879e-01
-1.312500000000000000e+00,2.426650515463918412e-01
-1.187500000000000000e+00,2.447619612756266050e-01
-1.062500000000000000e+00,2.183735550351286747e-01
-9.375000000000000000e-01,2.070342040194882993e-01
-8.125000000000000000e-01,1.704018809145763369e-01
-6.875000000000000000e-01,1.637248077627848908e-01
-5.625000000000000000e-01,1.457458310585095229e-01
-4.375000000000000000e-01,1.445962755303118741e-01
-3.125000000000000000e-01,1.204981096633688381e-01
-1.875000000000000000e-01,7.627788615571193254e-02
-6.250000000000000000e-02,2.581164032038670356e-02
6.250000000000000000e-02,-2.357419387538236058e-02
1.875000000000000000e-01,-6.783774803787528951e-02
3.125000000000000000e-01,-1.126439478616213102e-01
4.375000000000000000e-01,-1.582149812624369933e-01
5.625000000000000000e-01,-1.721417566019421141e-01
6.875000000000000000e-01,-1.921791035979022733e-01
8.125000000000000000e-01,-2.191480804869795351e-01
9.375000000000000000e-01,-2.165954846103472775e-01
1.062500000000000000e+00,-2.617535220385675543e-01
1.187500000000000000e+00,-2.062198535031846136e-01
1.312500000000000000e+00,-1.113646478873239337e-01
1.437500000000000000e+00,-1.059253283582089616e-01
1.562500000000000000e+00,-2.740401724137931927e-01
1.687500000000000000e+00,-2.278878999999999766e-01
1.812500000000000000e+00,-2.622411818181818455e-01
1.937500000000000000e+00,-2.081500000000002792e-02
2.062500000000000000e+00,-6.645199999999999996e-01
2.187500000000000000e+00,nan
2.312500000000000000e+00,nan
2.437500000000000000e+00,nan
2.562500000000000000e+00,nan
2.687500000000000000e+00,nan
2.812500000000000000e+00,nan
2.937500000000000000e+00,nan
3.062500000000000000e+00,nan
3.187500000000000000e+00,nan
3.312500000000000000e+00,nan
3.437500000000000000e+00,nan
3.562500000000000000e+00,nan
3.687500000000000000e+00,nan
3.812500000000000000e+00,nan
3.937500000000000000e+00,nan
