# omega_z*kolmogorov_time,angle_z
-1.937500000000000000e+00,-1.308410210572229948e+00
-1.812500000000000000e+00,-1.284086655340529015e+00
-1.687500000000000000e+00,-1.252044202576909848e+00
-1.562500000000000000e+00,-1.287773572139681466e+00
-1.437500000000000000e+00,-1.046100762778051863e+00
-1.312500000000000000e+00,-1.081842048911483056e+00
-1.187500000000000000e+00,-1.007067319416162343e+00
-1.062500000000000000e+00,-9.872362354043499044e-01
-9.375000000000000000e-01,-8.350998644307422447e-01
-8.125000000000000000e-01,-7.172775417718356694e-01
-6.875000000000000000e-01,-6.493918737705183242e-01
-5.625000000000000000e-01,-5.076205497816481671e-01
-4.375000000000000000e-01,-3.997881817504906898e-01
-3.125000000000000000e-01,-2.964768608624495649e-01
-1.875000000000000000e-01,-1.827037978304060784e-01
-6.250000000000000000e-02,-3.835395452564964447e-02
6.250000000000000000e-02,8.026234828796229015e-02
1.875000000000000000e-01,1.940812487161318878e-01
3.125000000000000000e-01,2.981779687695367276e-01
4.375000000000000000e-01,4.293304280823095342e-01
5.625000000000000000e-01,5.417600524317750521e-01
6.875000000000000000e-01,6.717991120618556078e-01
8.125000000000000000e-01,7.728264559265148881e-01
9.375000000000000000e-01,8.970313730587115009e-01
1.062500000000000000e+00,1.015762862094609087e+00
1.187500000000000000e+00,1.071438494834935806e+00
1.312500000000000000e+00,1.143522149077580874e+00
1.437500000000000000e+00,1.249860584079211634e+00
1.562500000000000000e+00,1.411318754138510156e+00
1.687500000000000000e+00,1.351091471351702156e+00
1.812500000000000000e+00,1.535446621479149343e+00
1.937500000000000000e+00,1.671572215506919701e+00
