# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_0o125
0.000000000000000000e+00,4.355867619618275510e-02
1.632653061224489666e-01,4.432064737617689293e-02
3.265306122448979331e-01,4.503270624945617667e-02
4.897959183673469274e-01,4.569469483817492628e-02
6.530612244897958663e-01,4.630645516448747556e-02
8.163265306122448051e-01,4.686782925054815835e-02
9.795918367346938549e-01,4.737865911851130152e-02
1.142857142857142794e+00,4.783878679053123195e-02
1.306122448979591733e+00,4.824805428876229041e-02
1.469387755102040671e+00,4.860630363535879683e-02
1.632653061224489610e+00,4.891337685247508504e-02
1.795918367346938549e+00,4.916911596226549580e-02
1.959183673469387710e+00,4.937336298688433517e-02
2.122448979591836427e+00,4.952595994848595085e-02
2.285714285714285587e+00,4.962674886922468359e-02
2.448979591836734304e+00,4.967557177125484641e-02
2.612244897959183465e+00,4.967227067673078006e-02
2.775510204081632626e+00,4.961668760780680448e-02
2.938775510204081343e+00,4.950866458663726044e-02
3.102040816326530503e+00,4.934804363537646787e-02
3.265306122448979220e+00,4.913466677617877448e-02
3.428571428571428381e+00,4.886837603119848633e-02
3.591836734693877098e+00,4.854901342258995806e-02
3.755102040816326259e+00,4.817642097250750266e-02
3.918367346938775420e+00,4.775044070310546090e-02
4.081632653061224580e+00,4.727091463653815967e-02
4.244897959183672853e+00,4.673768479495992584e-02
4.408163265306122014e+00,4.615059320052508629e-02
4.571428571428571175e+00,4.550948187538799566e-02
4.734693877551020336e+00,4.481419284170297390e-02
4.897959183673468608e+00,4.406456812162432013e-02
5.061224489795917769e+00,4.326044973730640980e-02
5.224489795918366930e+00,4.240167971090353510e-02
5.387755102040816091e+00,4.148810006457005761e-02
5.551020408163265252e+00,4.051955282046029033e-02
5.714285714285713524e+00,3.949588000072858096e-02
5.877551020408162685e+00,3.841692362752923556e-02
6.040816326530611846e+00,3.728252572301660184e-02
6.204081632653061007e+00,3.609252830934500667e-02
6.367346938775509280e+00,3.484677340866878387e-02
6.530612244897958441e+00,3.354510304314224645e-02
6.693877551020407601e+00,3.218735923491974210e-02
6.857142857142856762e+00,3.077338400615559424e-02
7.020408163265305923e+00,2.930301937900414017e-02
7.183673469387754196e+00,2.777610737561971369e-02
7.346938775510203357e+00,2.619249001815663128e-02
7.510204081632652517e+00,2.455200932876921982e-02
7.673469387755101678e+00,2.285450732961182702e-02
7.836734693877550839e+00,2.109982604283878321e-02
8.000000000000000000e+00,1.928780749060440489e-02
