# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst,omegamax
9.996000000000000441e+00,2.111847194932660599e-01,6.085122904936511243e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,6.565936237776359881e-03,5.964563316053914793e-03,1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+00
9.996000000000000441e+00,1.058144849736769588e-02,6.208522786586258106e-03,1.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00
9.996000000000000441e+00,3.297542552177121222e-02,5.937638971653229521e-03,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00
9.996000000000000441e+00,6.741237754867571152e-02,6.113859145447989724e-03,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.475982400772809233e-01,6.222812127742965820e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.917605802086459477e-01,5.894271084812116937e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.184286849505427119e-01,5.958080522023658822e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,-6.404872788959334318e-03,5.885215281389835976e-03,1.000000000000000000e+00,1.600000000000000000e+01,1.000000000000000000e+00
9.996000000000000441e+00,2.345944906282825537e-01,6.107968708077368518e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.294701129475227308e-01,6.371903875101128656e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.193925574135904277e-01,6.152290511449445658e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.554700198438750181e-01,5.718632140854559322e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,-5.396312333527159347e-03,6.283205610248920013e-03,1.000000000000000000e+00,1.600000000000000000e+01,2.000000000000000000e+00
9.996000000000000441e+00,1.728981240933873398e-01,6.093479133154385691e-03,1.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,8.964309542176245038e-02,6.064804911097977473e-03,1.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.517907932704331886e-01,5.825117061135569145e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.893555840304871452e-02,6.228947060344412930e-03,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00
9.996000000000000441e+00,2.379691522116658964e-01,6.136619062641801743e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,7.823779804890705625e-03,6.288935736760988861e-03,1.000000000000000000e+00,1.200000000000000000e+01,2.000000000000000000e+00
9.996000000000000441e+00,2.072323389316663989e-01,6.043946751778513267e-03,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,4.928451067927171192e-03,5.997434527543242001e-03,1.000000000000000000e+00,1.400000000000000000e+01,2.000000000000000000e+00
9.996000000000000441e+00,2.449416641656662619e-01,5.889561498756499397e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.100234022319865390e-01,5.916163367429765757e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
