# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-01,1.847172111742424044e-02,1.684614609006274827e-02
6.929999999999999494e-01,2.951333226235570290e-02,1.453623890440370638e-02
1.022999999999999909e+00,3.241301434200880016e-02,1.368315053128638277e-02
1.352999999999999980e+00,3.184876994987988902e-02,1.262967435773682499e-02
1.683000000000000052e+00,3.767743728646761464e-02,1.177406212119953659e-02
2.045999999999999819e+00,4.458329658098118820e-02,1.090222828475301969e-02
2.375999999999999890e+00,4.784402126736111288e-02,1.065474702515142175e-02
2.705999999999999961e+00,4.973927080446230442e-02,1.011322444522529292e-02
3.036000000000000032e+00,4.990628248775115516e-02,9.562035851731641792e-03
3.399000000000000021e+00,4.957464655275448800e-02,9.149903525612146718e-03
3.729000000000000092e+00,5.001941837833534521e-02,8.836538396165723175e-03
4.059000000000000163e+00,5.002264450911554639e-02,8.652092797306925459e-03
4.421999999999999709e+00,4.995936356039405724e-02,8.425659789858808840e-03
4.751999999999999780e+00,5.033831787109376010e-02,8.170250190227566767e-03
5.081999999999999851e+00,5.038477792330775529e-02,7.928452163386844748e-03
5.411999999999999922e+00,5.108669157514551112e-02,7.692283589196487886e-03
5.775000000000000355e+00,5.121270427489177379e-02,7.456820760147318643e-03
6.105000000000000426e+00,5.139181766994266320e-02,7.228692689934174999e-03
6.434999999999999609e+00,5.093338857323233271e-02,7.110494519159956534e-03
6.798000000000000043e+00,5.108809878020189460e-02,7.055883786580455924e-03
7.128000000000000114e+00,5.118841723989021875e-02,6.972487336034029898e-03
7.458000000000000185e+00,5.186747190516894507e-02,6.854531388432183632e-03
7.788000000000000256e+00,5.286377454697932521e-02,6.728376805293596018e-03
8.150999999999999801e+00,5.377838656683229385e-02,6.632941832468573079e-03
8.480999999999999872e+00,5.363535345091233197e-02,6.575866580265777792e-03
8.810999999999999943e+00,5.319816172167603219e-02,6.552724330624873188e-03
9.141000000000000014e+00,5.270673104864073699e-02,6.480878213215731341e-03
9.503999999999999559e+00,5.244263774216777890e-02,6.372275485304198031e-03
9.833999999999999631e+00,5.189338239383135820e-02,6.257289740481105332e-03
