# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.380000000000000226e-01,5.399640867696005320e-02,1.891883932804920912e-02
6.740000000000000435e-01,5.494087051708549524e-02,1.813254923388371923e-02
1.012000000000000011e+00,5.715604325245491474e-02,1.757568855016811843e-02
1.348000000000000087e+00,5.842759038998747434e-02,1.710582462522686892e-02
1.685999999999999943e+00,5.999660910971789385e-02,1.663679356262564440e-02
2.024000000000000021e+00,6.164881963315217706e-02,1.621950780635085174e-02
2.359999999999999876e+00,6.219901992021981130e-02,1.583866151247740120e-02
2.697999999999999954e+00,6.208947039039334342e-02,1.550610527291081120e-02
3.036000000000000032e+00,6.264482154896451604e-02,1.516169124044892957e-02
3.371999999999999886e+00,6.343281969679066823e-02,1.480467137269857181e-02
3.709999999999999964e+00,6.479222672043463693e-02,1.448165289373075197e-02
4.046000000000000263e+00,6.547950534188859417e-02,1.418710755458160722e-02
4.384000000000000341e+00,6.575692119737611141e-02,1.390244949253759479e-02
4.722000000000000419e+00,6.550059809799872734e-02,1.362849594849812468e-02
5.057999999999999829e+00,6.557094090387444174e-02,1.335237597581143999e-02
5.395999999999999908e+00,6.570529312801148825e-02,1.306630906089818744e-02
5.733999999999999986e+00,6.596951686724744635e-02,1.279017672186380343e-02
6.070000000000000284e+00,6.602779148862232550e-02,1.252447686118731210e-02
6.408000000000000362e+00,6.610389189416548961e-02,1.225754136943829620e-02
6.743999999999999773e+00,6.583790191976202077e-02,1.199708180744149706e-02
7.081999999999999851e+00,6.575034397559392785e-02,1.174084988811403829e-02
7.419999999999999929e+00,6.561930974667284922e-02,1.147908099883584131e-02
7.756000000000000227e+00,6.581926731623097271e-02,1.121478247880658245e-02
8.093999999999999417e+00,6.603369219049218253e-02,1.095147622367885834e-02
8.432000000000000384e+00,6.604178105450218828e-02,1.069916925628971484e-02
8.768000000000000682e+00,6.600472476708627023e-02,1.044776465960740863e-02
9.105999999999999872e+00,6.594220827313379552e-02,1.018532408527128910e-02
9.442000000000000171e+00,6.578564148013860136e-02,9.923210085546804032e-03
9.779999999999999361e+00,6.579726028286363160e-02,9.668449884905616631e-03
