# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.158399767889492837e-01,1.793669911005784864e-02
6.899999999999999467e-01,2.161936679121377047e-01,1.505106732692329530e-02
1.034999999999999920e+00,2.105057687952898715e-01,1.417307812443708778e-02
1.379999999999999893e+00,2.100969981317934998e-01,1.304549358369288745e-02
1.721999999999999975e+00,2.080746843468713747e-01,1.216961129689620585e-02
2.067000000000000171e+00,2.086883404957365351e-01,1.149028114054672679e-02
2.411999999999999922e+00,2.099109457594838524e-01,1.109810944294266528e-02
2.757000000000000117e+00,2.131763136306447093e-01,1.056246628830914518e-02
3.101999999999999869e+00,2.150429489165256447e-01,9.984844448246821269e-03
3.447000000000000064e+00,2.153654377901073336e-01,9.563710303479577846e-03
3.791999999999999815e+00,2.149560595806138119e-01,9.189512640076053299e-03
4.136999999999999567e+00,2.141139514121797593e-01,8.881329082907514494e-03
4.482000000000000206e+00,2.141926706391538149e-01,8.537487638039782320e-03
4.826999999999999957e+00,2.149753277867335055e-01,8.265158581711408090e-03
5.168999999999999595e+00,2.152804608528608166e-01,7.927942166156136047e-03
5.514000000000000234e+00,2.155060081440424158e-01,7.619723251383570331e-03
5.858999999999999986e+00,2.148329266406383276e-01,7.403173656688422262e-03
6.203999999999999737e+00,2.152351351257757173e-01,7.188919522602575142e-03
6.549000000000000377e+00,2.158958865678443084e-01,7.027804033634605860e-03
6.894000000000000128e+00,2.154119192753662371e-01,6.932342956924616127e-03
7.238999999999999879e+00,2.142719666530684408e-01,6.847452442288793663e-03
7.583999999999999631e+00,2.137259634798589214e-01,6.685558542069372327e-03
7.929000000000000270e+00,2.139509336770084591e-01,6.559671286569522877e-03
8.273999999999999133e+00,2.138639414978396325e-01,6.469280346367086050e-03
8.615999999999999659e+00,2.142742103852933733e-01,6.413172279150806607e-03
8.961000000000000298e+00,2.144077799588146038e-01,6.333174763707301834e-03
9.305999999999999162e+00,2.148313479920548608e-01,6.197420354613190734e-03
9.650999999999999801e+00,2.145908762692985139e-01,6.089680812161935887e-03
9.996000000000000441e+00,2.143532069077630775e-01,5.992493209526442849e-03
