# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.940000000000000058e-01,8.355225490294782009e-02,1.938653681924674618e-02
3.900000000000000133e-01,8.438258964342948421e-02,1.889553016199171931e-02
5.839999999999999636e-01,8.301450421058967355e-02,1.842629846942564834e-02
7.800000000000000266e-01,8.316312568860174947e-02,1.801012393025277353e-02
9.739999999999999769e-01,8.339727144025924077e-02,1.765730200282426832e-02
1.169999999999999929e+00,8.306585077791134308e-02,1.731819015154474617e-02
1.364000000000000101e+00,8.292050734712930193e-02,1.701795688982382648e-02
1.560000000000000053e+00,8.202036211062699311e-02,1.673255485588183086e-02
1.754000000000000004e+00,8.094586258195554662e-02,1.647365171672341214e-02
1.947999999999999954e+00,8.055276457925597544e-02,1.620430890752727962e-02
2.144000000000000128e+00,8.039141595185692046e-02,1.595104904548953068e-02
2.338000000000000078e+00,8.096892114905233917e-02,1.570981832198885264e-02
2.533999999999999808e+00,8.144162351010630907e-02,1.547933234916134930e-02
2.728000000000000203e+00,8.136830626904439923e-02,1.523978930823263918e-02
2.923999999999999932e+00,8.168209099932668971e-02,1.500806905262571690e-02
3.117999999999999883e+00,8.199713819894062505e-02,1.479539816482709942e-02
3.314000000000000057e+00,8.209041093125282740e-02,1.458701538810931037e-02
3.508000000000000007e+00,8.219896229099113438e-02,1.439973084500688859e-02
3.704000000000000181e+00,8.207947489200864699e-02,1.422161388443285608e-02
3.898000000000000131e+00,8.196984857018022042e-02,1.405676098286175180e-02
4.091999999999999638e+00,8.192174714238530109e-02,1.389952032427864761e-02
4.288000000000000256e+00,8.193729679620087580e-02,1.375134067789990713e-02
4.482000000000000206e+00,8.179680255309432213e-02,1.360573589081300397e-02
4.677999999999999936e+00,8.163381567894265056e-02,1.346800104016675909e-02
4.871999999999999886e+00,8.150998836824263627e-02,1.333129548629697313e-02
5.067999999999999616e+00,8.149951961911751364e-02,1.318609629393705657e-02
5.261999999999999567e+00,8.164214487050433511e-02,1.303932663384449984e-02
5.458000000000000185e+00,8.165365905873545049e-02,1.289588056093973582e-02
5.652000000000000135e+00,8.160377246508426774e-02,1.275758294657776751e-02
