# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_8o0,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_2o0
0.000000000000000000e+00,2.108436114153801888e-01,2.129940673324716149e-01,2.195412811416619370e-01,2.185789989822738422e-01
1.632653061224489666e-01,2.308446636674882368e-01,2.125708162540423662e-01,2.322155475549562142e-01,2.355042310266709238e-01
3.265306122448979331e-01,2.491644996924468614e-01,2.120592193401092118e-01,2.436887387295990359e-01,2.509569456555488243e-01
4.897959183673469274e-01,2.658567820737397502e-01,2.114617406384387832e-01,2.540010769096041621e-01,2.649850043541869260e-01
6.530612244897958663e-01,2.809751733948503416e-01,2.107808441967978785e-01,2.631927843389854083e-01,2.776362686078644448e-01
8.163265306122448051e-01,2.945733362392624621e-01,2.100189940629531293e-01,2.713040832617565901e-01,2.889585999018607909e-01
9.795918367346938549e-01,3.067049331904595499e-01,2.091786542846712782e-01,2.783751959219314398e-01,2.989998597214552634e-01
1.142857142857142794e+00,3.174236268319252097e-01,2.082622889097190122e-01,2.844463445635237453e-01,3.078079095519271613e-01
1.306122448979591733e+00,3.267830797471431015e-01,2.072723619858630739e-01,2.895577514305473499e-01,3.154306108785558949e-01
1.469387755102040671e+00,3.348369545195968300e-01,2.062113375608700949e-01,2.937496387670160414e-01,3.219158251866206522e-01
1.632653061224489610e+00,3.416389137327699443e-01,2.050816796825068455e-01,2.970622288169435521e-01,3.273114139614010099e-01
1.795918367346938549e+00,3.472426199701460492e-01,2.038858523985400129e-01,2.995357438243437809e-01,3.316652386881759340e-01
1.959183673469387710e+00,3.517017358152088047e-01,2.026263197567362839e-01,3.012104060332303490e-01,3.350251608522250568e-01
2.122448979591836427e+00,3.550699238514416489e-01,2.013055458048623736e-01,3.021264376876170998e-01,3.374390419388277329e-01
2.285714285714285587e+00,3.574008466623284641e-01,1.999259945906850244e-01,3.023240610315179877e-01,3.389547434332629283e-01
2.448979591836734304e+00,3.587481668313526884e-01,1.984901301619708958e-01,3.018434983089466894e-01,3.396201268208103863e-01
2.612244897959183465e+00,3.591655469419978708e-01,1.970004165664867024e-01,3.007249717639168263e-01,3.394830535867491283e-01
