# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.996000000000000441e+00,2.063247276449642342e-01,6.353409644105197096e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.139972288720175531e-01,5.924517834847944052e-03,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.137855298369347734e-01,5.995051867413347252e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.129551025488320148e-01,6.078262431754315534e-03,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,3.166531250195390168e-01,6.019932300842158017e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.075934985322253623e-01,6.169083899554814003e-03,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.095871651394932478e-01,5.612511852077211455e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.896787633998911815e-01,5.687525324355651411e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.020028245673269052e-01,5.955284739955318297e-03,1.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.521304200391093264e-01,5.729159746960661888e-03,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.039481159651360453e-01,5.465003949001523594e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.378226859103016233e-01,5.481972243350244356e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.927574800427983570e-01,6.118658049177352204e-03,1.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.874985286106629956e-01,5.349203663158510168e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.338340948684160869e-01,5.459025512983164789e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.550722692397271230e-01,5.390388286657169653e-03,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.052993522604354193e-01,5.433587155748853190e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.832226400325755178e-01,6.018604922074511678e-03,1.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.682694041483780767e-01,5.338944300737123554e-03,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.288405718732805294e-01,4.900516171469402639e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.742293723153323926e-01,5.966400124636771565e-03,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.725972314707132416e-01,5.541883040820230928e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.900465917812437566e-01,5.355974522618757623e-03,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.372813549247824172e-01,5.634615746800133822e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.053602924568264654e-01,5.561830009863290118e-03,1.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.441698577868647302e-01,5.515518883722893978e-03,1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.538779975857530236e-01,5.697194021064458380e-03,1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,1.554631989514556056e-01,5.848425667547194583e-03,1.000000000000000000e+00,8.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.197274626647534035e-01,5.784128259854849803e-03,1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,1.804565298775759885e-01,5.743761087446193521e-03,1.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,1.439992569293342406e-01,5.758109871211706914e-03,1.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,2.127303384244322582e-01,5.733355061608666828e-03,1.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,1.660599964595212974e-01,5.822980619237759330e-03,1.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.350814533821340924e-01,5.639096401772574103e-03,1.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.992174628640518419e-01,5.477641367825904391e-03,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,1.937366178893432100e-01,5.770461549113020845e-03,1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00
