# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,2.005914317255435009e-01,1.764756873187681152e-02
6.899999999999999467e-01,2.010603204257246646e-01,1.460341739890439958e-02
1.034999999999999920e+00,2.000572765700483202e-01,1.387988141607059481e-02
1.379999999999999893e+00,1.998870768229166761e-01,1.282832232588331303e-02
1.721999999999999975e+00,2.035067400960002826e-01,1.193177489663448283e-02
2.067000000000000171e+00,2.051275621182571118e-01,1.109992326396222473e-02
2.411999999999999922e+00,2.054213960309131393e-01,1.062097917150978815e-02
2.757000000000000117e+00,2.053257092741204159e-01,1.016673250042262819e-02
3.101999999999999869e+00,2.061574176564514860e-01,9.726257123982460021e-03
3.447000000000000064e+00,2.059684247624745945e-01,9.392062839589909382e-03
3.791999999999999815e+00,2.058322347005208386e-01,9.037018603879461154e-03
4.136999999999999567e+00,2.051305097764835883e-01,8.661118001926549834e-03
4.482000000000000206e+00,2.051977711191990128e-01,8.276337997104910721e-03
4.826999999999999957e+00,2.048734652572767878e-01,8.052503724903282284e-03
5.168999999999999595e+00,2.040800737796841791e-01,7.786620140540350364e-03
5.514000000000000234e+00,2.031122756421155362e-01,7.594993683830503044e-03
5.858999999999999986e+00,2.040714399054872896e-01,7.392118032250796257e-03
6.203999999999999737e+00,2.039523636149560559e-01,7.152258417070406736e-03
6.549000000000000377e+00,2.032549105481275542e-01,6.973233773236620255e-03
6.894000000000000128e+00,2.029926808807930860e-01,6.927774025057560452e-03
7.238999999999999879e+00,2.029133394201547147e-01,6.894135021519940364e-03
7.583999999999999631e+00,2.035759430575471429e-01,6.807511181561727923e-03
7.929000000000000270e+00,2.038962583701838249e-01,6.668461650095548233e-03
8.273999999999999133e+00,2.045006881024142020e-01,6.578183402256952174e-03
8.615999999999999659e+00,2.057135384930652289e-01,6.469363432652482961e-03
8.961000000000000298e+00,2.049184291870675412e-01,6.351208354844515430e-03
9.305999999999999162e+00,2.037548566826845597e-01,6.206726202049457977e-03
9.650999999999999801e+00,2.029292704042974793e-01,6.068790045901648056e-03
9.996000000000000441e+00,2.020028245673269052e-01,5.955284739955318297e-03
