# surftimeconst,average_velocity_axis_0_t_inf__params_8o0_1o0,average_velocity_axis_0_t_inf__params_4o0_2o0,average_velocity_axis_0_t_inf__params_4o0_4o0,average_velocity_axis_0_t_inf__params_4o0_8o0,average_velocity_axis_0_t_inf__params_8o0_8o0,average_velocity_axis_0_t_inf__params_8o0_2o0,average_velocity_axis_0_t_inf__params_8o0_4o0,average_velocity_axis_0_t_inf__params_4o0_1o0
0.000000000000000000e+00,4.933032416110136875e-01,2.485077626900409342e-01,2.533391030635879781e-01,2.626622852176364598e-01,4.788177003406132171e-01,4.687177122865983092e-01,5.091067131907199839e-01,2.771963972087391204e-01
1.224489795918367319e-01,5.163220078232828580e-01,2.668871078066843427e-01,2.698618428981328088e-01,2.731225117932119528e-01,4.909695254632556738e-01,4.928917362569606442e-01,5.362694368540958934e-01,2.895102546644552355e-01
2.448979591836734637e-01,5.376370227179265715e-01,2.838483575877746579e-01,2.849693861556952812e-01,2.827267898027360227e-01,5.026048922369515948e-01,5.154153254101445647e-01,5.612717030881370084e-01,3.009608235605145121e-01
3.673469387755101678e-01,5.573021110929426980e-01,2.994391720950818070e-01,2.987131783923585027e-01,2.915041426032578542e-01,5.137238701477880864e-01,5.363382284945666933e-01,5.841849071989776432e-01,3.115753678023628348e-01
4.897959183673469274e-01,5.753710977463292187e-01,3.137072113903759951e-01,3.111446651642055805e-01,2.994835935518263548e-01,5.243265286818529214e-01,5.557101942586433196e-01,6.050804444927527781e-01,3.213811512954459770e-01
6.122448979591836871e-01,5.918978074760837815e-01,3.267001355354272607e-01,3.223152920273194555e-01,3.066941660054905427e-01,5.344129373252330950e-01,5.735809714507911217e-01,6.240297102755963943e-01,3.304054379452097678e-01
7.346938775510203357e-01,6.069360650802044788e-01,3.384656045920055867e-01,3.322765045377833459e-01,3.131648833212994920e-01,5.439831655640159358e-01,5.900003088194268885e-01,6.411040998536435831e-01,3.386754916570998697e-01
8.571428571428570953e-01,6.205396953566891804e-01,3.490512786218811225e-01,3.410797482516801371e-01,3.189247688563022209e-01,5.530372828842888833e-01,6.050179551129666322e-01,6.563750085330286588e-01,3.462185763365621671e-01
9.795918367346938549e-01,6.327625231035357567e-01,3.585048176868237957e-01,3.487764687250929918e-01,3.240028459675477479e-01,5.615753587721392659e-01,6.186836590798272528e-01,6.699138316198860466e-01,3.530619558890423781e-01
1.102040816326530503e+00,6.436583731187420776e-01,3.668738818486038666e-01,3.554181115141048508e-01,3.284281380120851468e-01,5.695974627136545232e-01,6.310471694684253174e-01,6.817919644203505047e-01,3.592328942199863873e-01
1.224489795918367374e+00,6.532810702003060133e-01,3.742061311689912628e-01,3.610561221747989880e-01,3.322296683469634360e-01,5.771036641949218726e-01,6.421582350271772821e-01,6.920808022405565696e-01,3.647586552348398015e-01
1.346938775510204023e+00,6.616844391462255448e-01,3.805492257097560227e-01,3.657419462632582330e-01,3.354364603292316338e-01,5.840940327020286427e-01,6.520666045044996029e-01,7.008517403866387774e-01,3.696665028390484498e-01
1.469387755102040671e+00,6.689223047544983203e-01,3.859508255326682957e-01,3.695270293355658597e-01,3.380775373159387587e-01,5.905686377210620508e-01,6.608220266488088468e-01,7.081761741647315533e-01,3.739837009380582167e-01
1.591836734693877542e+00,6.750484918231225429e-01,3.904585906994980649e-01,3.724628169478046980e-01,3.401819226641338845e-01,5.965275487381097586e-01,6.684742502085219140e-01,7.141254988809697668e-01,3.777375134373147647e-01
1.714285714285714191e+00,6.801168251500958606e-01,3.941201812720155351e-01,3.746007546560580215e-01,3.417786397308659740e-01,6.019708352392589834e-01,6.750730239320547055e-01,7.187711098414876210e-01,3.809552042422639784e-01
1.836734693877551061e+00,6.841811295334162546e-01,3.969832573119904673e-01,3.759922880164086045e-01,3.428967118731841568e-01,6.068985667105968318e-01,6.806680965678241213e-01,7.221844023524197631e-01,3.836640372583516867e-01
1.959183673469387710e+00,6.872952297710815950e-01,3.990954788811931220e-01,3.766888625849398320e-01,3.435651624481373401e-01,6.113108126382109653e-01,6.853092168642467286e-01,7.244367717199009515e-01,3.858912763910233856e-01
2.081632653061224580e+00,6.895129506610897518e-01,4.005045060413937041e-01,3.767419239177345891e-01,3.438130148127747088e-01,6.152076425081884903e-01,6.890461335697389833e-01,7.255996132500655005e-01,3.876641855457251262e-01
2.204081632653061007e+00,6.908881170014384843e-01,4.012579988543621967e-01,3.762029175708759832e-01,3.436692923241451703e-01,6.185891258066168463e-01,6.919285954327176746e-01,7.257443222490480572e-01,3.890100286279025710e-01
2.326530612244897878e+00,6.914745535901259954e-01,4.014036173818684716e-01,3.751232891004468994e-01,3.431630183392977429e-01,6.214553320195833619e-01,6.940063512015987035e-01,7.249422940229831580e-01,3.899560695430014934e-01
2.448979591836734748e+00,6.913260852251500443e-01,4.009890216856826783e-01,3.735544840625306673e-01,3.423232162152815561e-01,6.238063306331752544e-01,6.953291496247994141e-01,7.232649238780054501e-01,3.905295721964678335e-01
2.571428571428571175e+00,6.904965367045086122e-01,4.000618718275748553e-01,3.715479480132102275e-01,3.411789093091456837e-01,6.256421911334801855e-01,6.959467394507358184e-01,7.207836071202494699e-01,3.907578004937471983e-01
2.693877551020408045e+00,6.890397328261992360e-01,3.986698278693150410e-01,3.691551265085685762e-01,3.397591209779389776e-01,6.269629830065851506e-01,6.959088694278247056e-01,7.175697390558495314e-01,3.906680183402854167e-01
2.816326530612244916e+00,6.870094983882197859e-01,3.968605498726734404e-01,3.664274651046887099e-01,3.380928745787105116e-01,6.277687757385775891e-01,6.952652883044823096e-01,7.136947149909405042e-01,3.902874896415282069e-01
2.938775510204081343e+00,6.844596581885689091e-01,3.946816978994202030e-01,3.634164093576539578e-01,3.362091934685095262e-01,6.280596388155449405e-01,6.940657448291255305e-01,7.092299302316569243e-01,3.896434783029213977e-01
3.061224489795918213e+00,6.814440370252436985e-01,3.921809320113252006e-01,3.601734048235472052e-01,3.341371010043847067e-01,6.278356417235744225e-01,6.923599877501707134e-01,7.042467800841331060e-01,3.887632482299109293e-01
3.183673469387755084e+00,6.780164596962422463e-01,3.894059122701583608e-01,3.567498970584516149e-01,3.319056205433855156e-01,6.270968539487534743e-01,6.901977658160344253e-01,6.988166598545036967e-01,3.876740633279422976e-01
3.306122448979591955e+00,6.742307509995623116e-01,3.864042987376897775e-01,3.531973316184497946e-01,3.295437754425604160e-01,6.258433449771693136e-01,6.876288277751333444e-01,6.930109648489032326e-01,3.864031875024613871e-01
3.428571428571428381e+00,6.701407357332023196e-01,3.832237514756899888e-01,3.495671540596254623e-01,3.270805890589590925e-01,6.240751842949093797e-01,6.847029223758837047e-01,6.869010903734666940e-01,3.849778846589141379e-01
3.551020408163265252e+00,6.658002386951595852e-01,3.799119305459284779e-01,3.459108099380612811e-01,3.245450847496300639e-01,6.217924413880610013e-01,6.814697983667025172e-01,6.805584317343279510e-01,3.834254187027461569e-01
3.673469387755102122e+00,6.612630846834322007e-01,3.765164960101755054e-01,3.422797448098403583e-01,3.219662858716225706e-01,6.189951857427113957e-01,6.779792044960055719e-01,6.740543842376218731e-01,3.817730535394031621e-01
3.795918367346938549e+00,6.565830984960181471e-01,3.730851079302013318e-01,3.387254042310459679e-01,3.193732157819857420e-01,6.156834868449481135e-01,6.742808895122104351e-01,6.674603431894834404e-01,3.800480530743312602e-01
3.918367346938775420e+00,6.518141049309150725e-01,3.696654263677755514e-01,3.352992337577608284e-01,3.167948978377682079e-01,6.118574141808582612e-01,6.704246021637324526e-01,6.608477038960463013e-01,3.782776812129759469e-01
4.040816326530611846e+00,6.470099287861212911e-01,3.663051113846688134e-01,3.320526789460682138e-01,3.142603553960195417e-01,6.075170372365293892e-01,6.664600911989894128e-01,6.542878616634457689e-01,3.764892018607829405e-01
4.163265306122449161e+00,6.422243948596340068e-01,3.630518230426506010e-01,3.290371853520510093e-01,3.117986118137883178e-01,6.026624254980487150e-01,6.624371053663968834e-01,6.478522117978158246e-01,3.747098789231981808e-01
4.285714285714285587e+00,6.375113279494520890e-01,3.599532214034915634e-01,3.263041985317925997e-01,3.094386904481239986e-01,5.972936484515034561e-01,6.584053934143719866e-01,6.416121496052917816e-01,3.729669763056676635e-01
4.408163265306122014e+00,6.329245528535726306e-01,3.570569665289614059e-01,3.239051640413756483e-01,3.072096146560753249e-01,5.914107755829813851e-01,6.544147040913310676e-01,6.356390703920076213e-01,3.712877579136365513e-01
4.530612244897959329e+00,6.285178943699936127e-01,3.544107184808300004e-01,3.218915274368834289e-01,3.051404077946914262e-01,5.850138763785692753e-01,6.505147861456901381e-01,6.300043694640977687e-01,3.696994876525512286e-01
4.653061224489795755e+00,6.243451772967131275e-01,3.520621373208677740e-01,3.203147342743989379e-01,3.032600932210211542e-01,5.781030203243547883e-01,6.467553883258667646e-01,6.247794421276970933e-01,3.682294294278571911e-01
4.775510204081632182e+00,6.204602264317287119e-01,3.500588831108447097e-01,3.192262301100053934e-01,3.015976942921136383e-01,5.706782769064252525e-01,6.431862593802768480e-01,6.200356836889402423e-01,3.669048471450001569e-01
4.897959183673469497e+00,6.169168665730391243e-01,3.484486159125308458e-01,3.186774604997856253e-01,3.001822343650181191e-01,5.627397156108678855e-01,6.398571480573371772e-01,6.158444894539616410e-01,3.657530047094262327e-01
5.020408163265305923e+00,6.137689225186409026e-01,3.472789957876957212e-01,3.187198709998227963e-01,2.990427367967833372e-01,5.542874059237702378e-01,6.368178031054636534e-01,6.122772547288954925e-01,3.648011660265808032e-01
5.142857142857142350e+00,6.110702190665332489e-01,3.465976827981104291e-01,3.194049071662000694e-01,2.982082249444584221e-01,5.453214173312194157e-01,6.341179732730740648e-01,6.094053748198772213e-01,3.640765950019099195e-01
5.265306122448979664e+00,6.088745810147130344e-01,3.464523370055443419e-01,3.207840145550000521e-01,2.977077221650924477e-01,5.358418193193028589e-01,6.318074073085835352e-01,6.073002450330402535e-01,3.636065555408592442e-01
5.387755102040816091e+00,6.072358331611789062e-01,3.468906184717673868e-01,3.229086387223064625e-01,2.975702518157344878e-01,5.258486813741078958e-01,6.299358539604097418e-01,6.060332606745200135e-01,3.634183115488745508e-01
5.510204081632652517e+00,6.062078003039281793e-01,3.479601872585504907e-01,3.258302252242020192e-01,2.978248372534335608e-01,5.153420729817217438e-01,6.285530619769685856e-01,6.056758170504512595e-01,3.635391269314016127e-01
5.632653061224489832e+00,6.058443072409589458e-01,3.497087034276623596e-01,3.296002196167696630e-01,2.985005018352385742e-01,5.043220636282321756e-01,6.277087801066768558e-01,6.062993094669673066e-01,3.639962655938863700e-01
5.755102040816326259e+00,6.061991787702698531e-01,3.521838270408746974e-01,3.342700674560928897e-01,2.996262689181988792e-01,4.927887227997259645e-01,6.274527570979514524e-01,6.079751332302041344e-01,3.648169914417744852e-01
5.877551020408162685e+00,6.073262396898573279e-01,3.554332181599560991e-01,3.398912142982539741e-01,3.012311618593629392e-01,4.807421199822908275e-01,6.278347416992076102e-01,6.107746836462950579e-01,3.660285683805115653e-01
6.000000000000000000e+00,6.092793147977202395e-01,3.595045368466772695e-01,3.465151056993365231e-01,3.033442040157802166e-01,4.681823246620138157e-01,6.289044826588634507e-01,6.147693560213751685e-01,3.676582603155437168e-01
