# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.997999999999999332e+00,4.089077788213893450e-01,4.011309804663575063e-02,4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.980127884951990991e-01,8.192032995053720457e-02,8.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,7.082781790733148064e-01,7.044833007832124183e-02,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,4.266396650423834869e-01,3.901897399117713189e-02,4.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,4.087081322514503068e-01,3.725909662578541504e-02,4.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,7.293861084716943832e-01,7.856055480812737524e-02,8.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
7.266000000000000014e+00,3.985859745948596711e-01,4.631946485237286443e-02,4.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+00
7.266000000000000014e+00,7.220221622969996700e-01,1.026350314272595626e-01,8.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,7.557494248849770946e-01,7.649301875941291740e-02,8.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.986424277042908693e-01,3.891608935110110745e-02,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
7.266000000000000014e+00,6.854486757672723085e-01,9.923769734396085951e-02,8.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.266000000000000014e+00,3.877296741673548208e-01,4.726346393410471580e-02,4.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e+00
7.266000000000000014e+00,6.504468242499312769e-01,9.583940951995800761e-02,8.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00
7.266000000000000014e+00,3.598228827974470634e-01,4.790114890663493136e-02,4.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+00
7.266000000000000014e+00,6.958000748348471820e-01,1.055106357171467224e-01,8.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00
7.266000000000000014e+00,3.502120116381089998e-01,4.447099600509475670e-02,4.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.590926087561262525e-01,3.977470991012814483e-02,4.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,6.784484084316863006e-01,8.473833953855197665e-02,8.000000000000000000e+00,8.000000000000000000e+00,1.500000000000000000e+00
