# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.997999999999999332e+00,4.476768869398879414e-01,8.103021616677708039e-02,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.368593144410132134e-01,3.974275013936226508e-02,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.502232200346319324e-01,3.908397146459285237e-02,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.587737469368874277e-01,3.718483063463220994e-02,4.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,4.851712670659132365e-01,7.688311997134938958e-02,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,4.485588852145429573e-01,9.399579755255149660e-02,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.123947117548510732e-01,9.117711163841646371e-02,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.797781575846419178e-01,3.508764092609689689e-02,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.020850170034006910e-01,8.799223503462638707e-02,8.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.228239827653030525e-01,3.899428298035781393e-02,4.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,6.122606380651129943e-01,8.681791651422858525e-02,8.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.080426104752200245e-01,3.970703989913653559e-02,4.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,6.099284981996400123e-01,9.815089104056784475e-02,8.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,6.402954544033807593e-01,8.865187897521180360e-02,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.014285779030806411e-01,3.522748696462762313e-02,4.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.275882774211091863e-01,4.026217796728017578e-02,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.504524545534107416e-01,7.694276616255234236e-02,8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.071934558786756808e-01,6.872034192723373847e-02,8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.803452565513102401e-01,3.774188755798640188e-02,4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.437548650355071178e-01,3.947460038790522041e-02,4.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.386119255101020520e-01,3.452452645033067535e-02,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.645205587992599749e-01,7.969771285673624139e-02,8.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.538387251669083966e-01,3.622314686913517823e-02,4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.657481574439888528e-01,8.536891179601249768e-02,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.419515598432186776e-01,4.280563209109614076e-02,4.000000000000000000e+00,8.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.784247794871474779e-01,3.909405065969698279e-02,4.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,6.408138690238047719e-01,8.711023958135591383e-02,8.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+00
