# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,3.077023301235465857e-01,7.591667646540525838e-02
6.899999999999999467e-01,3.371466542119565535e-01,7.287804336426875751e-02
1.034000000000000030e+00,3.350047902562863222e-01,7.127627796593002940e-02
1.379999999999999893e+00,3.366756057518116574e-01,7.029168924765949455e-02
1.723999999999999977e+00,3.329690966683584996e-01,6.906776174043746663e-02
2.068000000000000060e+00,3.281381014264990181e-01,6.776162445864401807e-02
2.414000000000000146e+00,3.259937053386495198e-01,6.646482617311931518e-02
2.758000000000000007e+00,3.240777355080674549e-01,6.512282863302322478e-02
3.101999999999999869e+00,3.232138111500645339e-01,6.346297645942636234e-02
3.447999999999999954e+00,3.275140355369055012e-01,6.224983347736825351e-02
3.791999999999999815e+00,3.307108623005670101e-01,6.117061755594965788e-02
4.137999999999999901e+00,3.325077794601860592e-01,6.018384334258389951e-02
4.482000000000000206e+00,3.314843131205376658e-01,5.907343792203937488e-02
4.825999999999999623e+00,3.284362551155201038e-01,5.758376568724501293e-02
5.171999999999999709e+00,3.284192904703210347e-01,5.610829031106699671e-02
5.516000000000000014e+00,3.278748413705583342e-01,5.472352153596853758e-02
5.860000000000000320e+00,3.252670161849402497e-01,5.322790186041924387e-02
6.206000000000000405e+00,3.241789189645101210e-01,5.185360157951277721e-02
6.549999999999999822e+00,3.233659792461832105e-01,5.074750655783693415e-02
6.895999999999999908e+00,3.230519305802276864e-01,4.958816046714793757e-02
7.240000000000000213e+00,3.237942620208908995e-01,4.864229724977568031e-02
7.583999999999999631e+00,3.254091070633900462e-01,4.742121337659473135e-02
7.929999999999999716e+00,3.267955297328184461e-01,4.607561264460188766e-02
8.273999999999999133e+00,3.276044971446701037e-01,4.471895979878411087e-02
8.618000000000000327e+00,3.278454239128857917e-01,4.350924442163197486e-02
8.964000000000000412e+00,3.292232658934348133e-01,4.229773419739332047e-02
9.307999999999999829e+00,3.292839941951815619e-01,4.110930420386463280e-02
9.653999999999999915e+00,3.290739569576082713e-01,4.013534506308324284e-02
9.997999999999999332e+00,3.296126369805211231e-01,3.911134449856866480e-02
