# surftimeconst,average_velocity_axis_0_t_inf__params_4o0_8o0,average_velocity_axis_0_t_inf__params_4o0_4o0,average_velocity_axis_0_t_inf__params_4o0_1o0,average_velocity_axis_0_t_inf__params_4o0_2o0
0.000000000000000000e+00,8.560053623916745735e-01,8.659161696280410769e-01,8.644602463525987712e-01,8.631580438351202922e-01
1.632653061224489666e-01,8.524961337583139009e-01,8.914329386394772570e-01,8.995850096508861693e-01,8.950299131513552719e-01
3.265306122448979331e-01,8.486979997464574321e-01,9.135461440095304919e-01,9.309926941967990865e-01,9.234113664818944800e-01
4.897959183673469274e-01,8.446211952565958470e-01,9.323831845201341340e-01,9.588089282283764891e-01,9.484200614866918899e-01
6.530612244897958663e-01,8.402759551892187151e-01,9.480714589532220904e-01,9.831593399836574543e-01,9.701736558257008092e-01
8.163265306122448051e-01,8.356725144448167164e-01,9.607383660907281575e-01,1.004169557700680615e+00,9.887898071588749893e-01
9.795918367346938549e-01,8.308211079238796426e-01,9.705113047145860206e-01,1.021965209617484938e+00,1.004386173146168293e+00
1.142857142857142794e+00,8.257319705268979515e-01,9.775176736067293648e-01,1.036671923972109610e+00,1.017080411447534027e+00
1.306122448979591733e+00,8.204153371543616569e-01,9.818848715490918755e-01,1.048415329002593266e+00,1.026990179722926388e+00
1.469387755102040671e+00,8.148814427067607724e-01,9.837402973236071269e-01,1.057321052946974982e+00,1.034233135632298239e+00
1.632653061224489610e+00,8.091405220845856450e-01,9.832113497122090262e-01,1.063514724043293613e+00,1.038926936835603554e+00
1.795918367346938549e+00,8.032028101883263993e-01,9.804254274968311478e-01,1.067121970529587793e+00,1.041189240992796083e+00
1.959183673469387710e+00,7.970785419184730491e-01,9.755099294594071768e-01,1.068268420643896821e+00,1.041137705763829802e+00
2.122448979591836427e+00,7.907779521755159413e-01,9.685922543818707986e-01,1.067079702624259552e+00,1.038889988808657572e+00
2.285714285714285587e+00,7.843112758599450896e-01,9.597998010461556984e-01,1.063681444708714618e+00,1.034563747787233590e+00
2.448979591836734304e+00,7.776887478722507296e-01,9.492599682341958944e-01,1.058199275135301543e+00,1.028276640359511385e+00
2.612244897959183465e+00,7.709206031129227643e-01,9.371001547279247390e-01,1.050758822142058513e+00,1.020146324185444708e+00
2.775510204081632626e+00,7.640170764824518734e-01,9.234477593092759173e-01,1.041485713967024829e+00,1.010290456924987090e+00
2.938775510204081343e+00,7.569884028813277377e-01,9.084301807601832257e-01,1.030505578848239345e+00,9.988266962380919489e-01
3.102040816326530503e+00,7.498448172100407039e-01,8.921748178625804604e-01,1.017944045023740474e+00,9.858726997847132578e-01
3.265306122448979220e+00,7.425965543690810078e-01,8.748090693984014177e-01,1.003926740731568401e+00,9.715461252248045465e-01
3.428571428571428381e+00,7.352538492589385521e-01,8.564603341495794497e-01,9.885792942097607616e-01,9.559646302183195665e-01
3.591836734693877098e+00,7.278269367801035727e-01,8.372560108980485749e-01,9.720273336963574096e-01,9.392458724252118474e-01
3.755102040816326259e+00,7.203260518330664164e-01,8.173234984257422564e-01,9.543964874293962009e-01,9.215075095054348076e-01
3.918367346938775420e+00,7.127614293183169858e-01,7.967901955145942905e-01,9.358123836469168788e-01,9.028671991189425317e-01
4.081632653061224580e+00,7.051433041363457388e-01,7.757835009465384735e-01,9.164006505869582986e-01,8.834425989256886602e-01
4.244897959183672853e+00,6.974819111876424671e-01,7.544308135035087126e-01,8.962869164875593153e-01,8.633513665856267227e-01
4.408163265306122014e+00,6.897874853726975175e-01,7.328595319674379160e-01,8.755968095867585621e-01,8.427111597587100267e-01
4.571428571428571175e+00,6.820702615920011258e-01,7.111970551202602131e-01,8.544559581225947831e-01,8.216396361048922126e-01
4.734693877551020336e+00,6.743404747460430837e-01,6.895707817439096221e-01,8.329899903331072775e-01,8.002544532841275871e-01
4.897959183673468608e+00,6.666083597353141821e-01,6.681081106203193842e-01,8.113245344563352335e-01,7.786732689563694576e-01
5.061224489795917769e+00,6.588841514603039906e-01,6.469364405314238509e-01,7.895852187303171732e-01,7.570137407815714647e-01
5.224489795918366930e+00,6.511780848215028561e-01,6.261831702591560411e-01,7.678976713930920628e-01,7.353935264196871380e-01
5.387755102040816091e+00,6.435003947194010143e-01,6.059756985854497513e-01,7.463875206826985353e-01,7.139302835306697848e-01
5.551020408163265252e+00,6.358613160544883680e-01,5.864414242922387777e-01,7.251803948371763342e-01,6.927416697744741558e-01
5.714285714285713524e+00,6.282710837272554860e-01,5.677077461614571385e-01,7.044019220945633153e-01,6.719453428110528925e-01
5.877551020408162685e+00,6.207399326381921600e-01,5.499020629750381861e-01,6.841777306928995550e-01,6.516589603003598574e-01
6.040816326530611846e+00,6.132780976877887369e-01,5.331517735149158277e-01,6.646334488702223542e-01,6.320001799023485800e-01
6.204081632653061007e+00,6.058958137765352303e-01,5.175842765630231934e-01,6.458947048645717892e-01,6.130866592769732559e-01
6.367346938775509280e+00,5.986033158049220981e-01,5.033269709012953008e-01,6.280871269139876034e-01,5.950360560841871926e-01
6.530612244897958441e+00,5.914108386734391321e-01,4.905072553116645029e-01,6.113363432565064315e-01,5.779660279839444748e-01
6.693877551020407601e+00,5.843286172825765679e-01,4.792525285760647069e-01,5.957679821301691270e-01,5.619942326361984097e-01
6.857142857142856762e+00,5.773668865328245303e-01,4.696901894764300422e-01,5.815076717730129907e-01,5.472383277009011948e-01
7.020408163265305923e+00,5.705358813246734773e-01,4.619476367946941942e-01,5.686810404230795424e-01,5.338159708380088020e-01
7.183673469387754196e+00,5.638458365586132004e-01,4.561522693127906258e-01,5.574137163184045285e-01,5.218448197074738726e-01
7.346938775510203357e+00,5.573069871351340465e-01,4.524314858126530225e-01,5.478313276970288026e-01,5.114425319692501581e-01
7.510204081632652517e+00,5.509295679547259184e-01,4.509126850762155136e-01,5.400595027969905537e-01,5.027267652832909661e-01
7.673469387755101678e+00,5.447238139178793848e-01,4.517232658854104521e-01,5.342238698563281929e-01,4.958151773095500481e-01
7.836734693877550839e+00,5.386999599250843485e-01,4.549906270221741877e-01,5.304500571130832398e-01,4.908254257079813776e-01
8.000000000000000000e+00,5.328682408768310452e-01,4.608421672684377413e-01,5.288636928052916630e-01,4.878751681385389283e-01
