# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,8.570855129076087042e-01,1.608966911123068527e-02
6.899999999999999467e-01,8.555551418138587216e-01,1.277841101851273121e-02
1.034999999999999920e+00,8.556303998716787707e-01,1.079945815685597402e-02
1.379999999999999893e+00,8.552389917346014947e-01,9.377295208867224632e-03
1.721999999999999975e+00,8.537019686637994376e-01,9.006469291925686335e-03
2.067000000000000171e+00,8.514335705997519987e-01,8.574245496735837663e-03
2.411999999999999922e+00,8.506973312150186706e-01,8.292447964981575215e-03
2.757000000000000117e+00,8.490856396077031132e-01,7.912654123315203403e-03
3.101999999999999869e+00,8.497575351461759130e-01,7.460610296929779707e-03
3.447000000000000064e+00,8.499955588645923266e-01,7.156509689880228599e-03
3.791999999999999815e+00,8.488764584054423468e-01,6.924166250125364692e-03
4.136999999999999567e+00,8.489499819181320905e-01,6.762277826552798993e-03
4.482000000000000206e+00,8.493429194207384736e-01,6.535870247634643741e-03
4.826999999999999957e+00,8.498815353011057727e-01,6.248772822016419003e-03
5.168999999999999595e+00,8.495578236844651965e-01,6.079343255046335687e-03
5.514000000000000234e+00,8.502800152169476267e-01,5.937771938096502063e-03
5.858999999999999986e+00,8.509667528721838181e-01,5.798223572058908842e-03
6.203999999999999737e+00,8.507253287319673785e-01,5.593803261330936548e-03
6.549000000000000377e+00,8.512415506243795615e-01,5.486201763702860078e-03
6.894000000000000128e+00,8.516712089430120702e-01,5.354604513883153699e-03
7.238999999999999879e+00,8.512134159371115283e-01,5.284607522244059823e-03
7.583999999999999631e+00,8.512162243806863371e-01,5.214441850107634675e-03
7.929000000000000270e+00,8.507042041576018399e-01,5.172806636761823236e-03
8.273999999999999133e+00,8.506515745624472213e-01,5.124517081162328902e-03
8.615999999999999659e+00,8.506848487960263494e-01,5.069284768168074579e-03
8.961000000000000298e+00,8.497802537122670641e-01,4.994380798317567954e-03
9.305999999999999162e+00,8.497261331944779839e-01,4.921718915690647712e-03
9.650999999999999801e+00,8.501995379971958311e-01,4.842493139266135747e-03
9.996000000000000441e+00,8.509639734800169553e-01,4.773547729491678382e-03
