# surftimeconst,average_velocity_axis_0_t_inf__params_4o0_5o0,average_velocity_axis_0_t_inf__params_8o0_6o0,average_velocity_axis_0_t_inf__params_4o0_6o0,average_velocity_axis_0_t_inf__params_8o0_7o0,average_velocity_axis_0_t_inf__params_4o0_7o0,average_velocity_axis_0_t_inf__params_8o0_3o0,average_velocity_axis_0_t_inf__params_8o0_5o0,average_velocity_axis_0_t_inf__params_4o0_3o0
0.000000000000000000e+00,2.676249728107548131e-01,5.367972479645987116e-01,2.577834492135866462e-01,5.324580300358718876e-01,2.979987806288029173e-01,5.367696433533066802e-01,5.405085395267773540e-01,2.615285942988151424e-01
1.224489795918367319e-01,2.794609522019069203e-01,5.492155419440771791e-01,2.660048171204198453e-01,5.438987743912849782e-01,3.011704928515906987e-01,5.523328459757330666e-01,5.507079116904246563e-01,2.743595384840381013e-01
2.448979591836734637e-01,2.904203732932220672e-01,5.604917918508220964e-01,2.738185105131963892e-01,5.546933047883735313e-01,3.042262591955926521e-01,5.668750069961274729e-01,5.603188313206919346e-01,2.864232418862295848e-01
3.673469387755101678e-01,3.005312017350052489e-01,5.706663598568928464e-01,2.812311711504181799e-01,5.648499275396511310e-01,3.071656968189634407e-01,5.804227341410306273e-01,5.693519323884690397e-01,2.977385272360537627e-01
4.897959183673469274e-01,3.098214031775614608e-01,5.797796081343491448e-01,2.882494407905869527e-01,5.743769489576309173e-01,3.099884228798575059e-01,5.930026351369838133e-01,5.778178488646456001e-01,3.083242172641749157e-01
6.122448979591836871e-01,3.183189432711956979e-01,5.878718988552504854e-01,2.948799611922046648e-01,5.832826753548264742e-01,3.126940545364294000e-01,6.046413177105279813e-01,5.857272147201114665e-01,3.181991347012569360e-01
7.346938775510203357e-01,3.260517876662130110e-01,5.949835941916562509e-01,3.011293741137729407e-01,5.915754130437511638e-01,3.152822089468335642e-01,6.153653895882041924e-01,5.930906639257561563e-01,3.273821022779641599e-01
8.571428571428570953e-01,3.330479020129183398e-01,6.011550563156260463e-01,3.070043213137936822e-01,5.992634683369183479e-01,3.177525032692247176e-01,6.252014584965535082e-01,5.999188304524694093e-01,3.358919427249608125e-01
9.795918367346938549e-01,3.393352519616167906e-01,6.064266473992191431e-01,3.125114445507687910e-01,6.063551475468416108e-01,3.201045546617572457e-01,6.341761321621167680e-01,6.062223482711409650e-01,3.437474787729110082e-01
1.102040816326530503e+00,3.449418031626131920e-01,6.108387296144951462e-01,3.176573855831998916e-01,6.128587569860342033e-01,3.223379802825857010e-01,6.423160183114352551e-01,6.120118513526604520e-01,3.509675331524787500e-01
