# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.997999999999999332e+00,2.678880358102870840e-01,3.821152219154824725e-02,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.317911363522704882e-01,7.766357251540489948e-02,8.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.650314316769604162e-01,3.663414381497738515e-02,4.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.522813656481296851e-01,7.550449507797148130e-02,8.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.762552787901330076e-01,3.923902111108707597e-02,4.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.365093143628725247e-01,8.151448697714142044e-02,8.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.097243089242848857e-01,8.158812046652677563e-02,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.764629988497699919e-01,3.761009472346852484e-02,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,3.394204461986147225e-01,3.803978059711330545e-02,4.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.821706122474494816e-01,8.678515602771533222e-02,8.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.893548428435686493e-01,8.051472774808032806e-02,8.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,2.792345269835216914e-01,3.901102144698128521e-02,4.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.597368676860372538e-01,7.409242766181435569e-02,8.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,2.928688401742848280e-01,3.991196506255532267e-02,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.289690656881376185e-01,8.649060728457286240e-02,8.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,2.767421730439837968e-01,4.061168034861893650e-02,4.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.007820810255801280e-01,3.835684070003541474e-02,4.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,5.998255135402081883e-01,9.318594774114534462e-02,8.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.269021304260852245e-01,8.057592330601760777e-02,8.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.730627168402430582e-01,4.090355533100920038e-02,4.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.844260414582916674e-01,7.946703848827607608e-02,8.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.359623178541958910e-01,4.163957894350336919e-02,4.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,6.798316803985797740e-01,8.666672068363082126e-02,8.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.551682383351670302e-01,3.719941105670534348e-02,4.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.557218455409832392e-01,4.169600165086546906e-02,4.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,5.965614482271455188e-01,8.325114414890201486e-02,8.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.154107591049460368e-01,3.999691610795143987e-02,4.000000000000000000e+00,7.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.590957332091418985e-01,3.856662166940041936e-02,4.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,7.128347075665133481e-01,7.970342150178558183e-02,8.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,6.297278893278657197e-01,7.448909606957283824e-02,8.000000000000000000e+00,7.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,6.124878835142029132e-01,7.888633954061415043e-02,8.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.689745863235147638e-01,4.299806480866320141e-02,4.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.382123346544309017e-01,3.935131904046609147e-02,4.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.721457510252051293e-01,8.948976934159200147e-02,8.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.520829607327715660e-01,3.880051078536966153e-02,4.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.459713005101020977e-01,7.530688749294826845e-02,8.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.214020647879576753e-01,7.449404670600441591e-02,8.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.550976492173434806e-01,7.582816696017871672e-02,8.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.259250310999700084e-01,3.951536653696997858e-02,4.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.947368489322865548e-01,3.842176849770671809e-02,4.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.860588395022754304e-01,4.013858536667827548e-02,4.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,6.419046824989999012e-01,7.535844097142795073e-02,8.000000000000000000e+00,7.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,6.861238044483897180e-01,8.058164983087916233e-02,8.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,4.022577527224194816e-01,3.856761129743914440e-02,4.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,6.491708654230846642e-01,8.159225839076048037e-02,8.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,6.148907281456291729e-01,6.970062295310330835e-02,8.000000000000000000e+00,6.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.293366282631526309e-01,4.003379215038135180e-02,4.000000000000000000e+00,7.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.576717695101520045e-01,4.035448422308189620e-02,4.000000000000000000e+00,6.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,5.883047797059413053e-01,7.914180514979307635e-02,8.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,6.412583844893978702e-01,8.491824129658689935e-02,8.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,5.666806673834767771e-01,8.176908493328698124e-02,8.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,6.209865519978996495e-01,7.609142139358594792e-02,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.503417378788257763e-01,4.046144115279112080e-02,4.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.848291455166032993e-01,3.893706071646479971e-02,4.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.460127111359772023e-01,3.631784673089884230e-02,4.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.357535807942838568e-01,3.822221071006175197e-02,4.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.397111219118824077e-01,4.136015993938441104e-02,4.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,7.131581441288259438e-01,8.583599443586639732e-02,8.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,6.234232237072414584e-01,7.395846854836977957e-02,8.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.358042124049809951e-01,7.856611746550755393e-02,8.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,3.853742396916883806e-01,3.937680666618185998e-02,4.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,3.411708947258201841e-01,3.715549499809349399e-02,4.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,6.345601385902182034e-01,8.734724428965150167e-02,8.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,3.729744069907731663e-01,4.085826850881604105e-02,4.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.631721750600120480e-01,8.112369131168278846e-02,8.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.426244463736497492e-01,3.938448020171006481e-02,4.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,5.758100182536507461e-01,7.668636393366029536e-02,8.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.565378716368273748e-01,3.915526923120075248e-02,4.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,6.030727817438488181e-01,7.753796035542220855e-02,8.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.250988385177036033e-01,3.932495897441239119e-02,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,6.457163745249050457e-01,7.586266654868344117e-02,8.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.394663467849819982e-01,3.638386263375226193e-02,4.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,3.046442202503001351e-01,3.969689311215231220e-02,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,5.894740619999000453e-01,8.219966058342047244e-02,8.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,5.183901608446690457e-01,7.630199431895089146e-02,8.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,4.852297740798160453e-01,8.388596804446948885e-02,8.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,5.343269841468294423e-01,7.853112588819149975e-02,8.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,3.321106819020054335e-01,3.854399256800992990e-02,4.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00
