# time,average_velocity_axis,95CLI
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.439999999999999725e-01,2.315334529433139554e-01,7.848896258465057341e-02
6.899999999999999467e-01,2.455385926177536815e-01,7.301593555934943192e-02
1.034000000000000030e+00,2.535331464579303473e-01,6.941306381517149682e-02
1.379999999999999893e+00,2.623549224411232395e-01,6.612613260023167405e-02
1.723999999999999977e+00,2.730020052385440654e-01,6.368924362784003645e-02
2.068000000000000060e+00,2.815409362911025504e-01,6.181009657165209559e-02
2.414000000000000146e+00,2.879717371323529118e-01,6.014658410103492642e-02
2.758000000000000007e+00,2.966361692122915228e-01,5.856790023043642601e-02
3.101999999999999869e+00,3.015987581096873371e-01,5.757014623837974909e-02
3.447999999999999954e+00,3.042686498513631488e-01,5.693824260642092044e-02
3.791999999999999815e+00,3.052921724601134201e-01,5.672408841298345189e-02
4.137999999999999901e+00,3.033038294088327702e-01,5.643156498089538925e-02
4.482000000000000206e+00,3.036488079052320210e-01,5.586376261309556474e-02
4.825999999999999623e+00,3.036653106221508525e-01,5.481056550460174093e-02
5.171999999999999709e+00,3.028993188986368601e-01,5.347943314225186290e-02
5.516000000000000014e+00,3.031560368416877926e-01,5.225581530598001623e-02
5.860000000000000320e+00,3.050871427047781026e-01,5.113307963945007417e-02
6.206000000000000405e+00,3.078569611313647925e-01,5.016014583934311211e-02
6.549999999999999822e+00,3.102997405772900952e-01,4.917345650599658918e-02
6.895999999999999908e+00,3.127156543421911739e-01,4.817152374031257595e-02
7.240000000000000213e+00,3.147519569017610541e-01,4.721144318975670218e-02
7.583999999999999631e+00,3.188049640896954418e-01,4.624168043228066294e-02
7.929999999999999716e+00,3.218852912200504401e-01,4.520603322815314185e-02
8.273999999999999133e+00,3.233414111599589580e-01,4.430175237807598004e-02
8.618000000000000327e+00,3.253555276746344926e-01,4.337098727036967777e-02
8.964000000000000412e+00,3.279397150232875591e-01,4.235799869187350380e-02
9.307999999999999829e+00,3.310993177072142357e-01,4.136038272901976925e-02
9.653999999999999915e+00,3.349660495325771370e-01,4.032362083909522832e-02
9.997999999999999332e+00,3.382123346544309017e-01,3.935131904046609147e-02
